"Year,""Lg"",""Rd"",""Pk"",""Tm"",""Player"",""Pos"",""College"",""From"",""To"",""G"",""MP"",""PTS"",""TRB"",""AST"",""STL"",""BLK"",""FG%"",""2P%"",""3P%"",""FT%"",""WS"",""WS/48"""
"2005,""NBA"",1,3,""UTA"",""Deron Williams"",""G"",""University of Illinois at Urbana-Champaign"",2006,2017,845,34.2,16.3,3.1,8.1,1,0.2,0.445,0.482,0.357,0.822,77.3,0.129"
"2005,""NBA"",1,30,""NYK"",""David Lee"",""F"",""University of Florida"",2006,2017,829,29.3,13.5,8.8,2.2,0.8,0.4,0.535,0.537,0.034,0.772,76,0.15"
"2001,""NBA"",1,6,""MEM"",""Shane Battier"",""F"",""Duke University"",2002,2014,977,30.7,8.6,4.2,1.8,1,0.9,0.437,0.486,0.384,0.743,75.7,0.121"
"2009,""NBA"",1,1,""LAC"",""Blake Griffin"",""F"",""University of Oklahoma"",2011,2019,604,35,21.9,9,4.5,0.9,0.5,0.502,0.522,0.342,0.692,75.3,0.171"
"2004,""NBA"",1,7,""PHO"",""Luol Deng"",""F"",""Duke University"",2005,2019,902,34.3,14.8,6.1,2.3,1,0.5,0.456,0.482,0.332,0.769,74,0.115"
"2002,""NBA"",1,7,""NYK"",""Nen? Hil?rio"",""F-C"","""",2003,2019,965,26.2,11.3,6,1.8,1.1,0.7,0.548,0.551,0.132,0.66,73.3,0.139"
"2012,""NBA"",1,1,""NOH"",""Anthony Davis"",""F-C"",""University of Kentucky"",2013,2019,466,34.6,23.7,10.5,2.1,1.4,2.4,0.517,0.533,0.314,0.795,72,0.214"
"2007,""NBA"",1,4,""MEM"",""Mike Conley"",""G"",""Ohio State University"",2008,2019,788,32.6,14.9,3,5.7,1.5,0.2,0.441,0.47,0.375,0.819,71.4,0.133"
"2004,""NBA"",1,15,""BOS"",""Al Jefferson"",""C-F"","""",2005,2018,915,28.7,15.7,8.4,1.5,0.7,1.2,0.499,0.501,0.121,0.711,71,0.13"
"2003,""NBA"",2,51,""NJN"",""Kyle Korver"",""G-F"",""Creighton University"",2004,2019,1174,25.7,9.9,3,1.7,0.7,0.3,0.443,0.464,0.429,0.878,70.9,0.113"
"2012,""NBA"",1,6,""POR"",""Damian Lillard"",""G"",""Weber State University"",2013,2019,549,36.3,23.5,4.2,6.3,1,0.3,0.434,0.48,0.368,0.889,70.3,0.169"
"2011,""NBA"",1,30,""CHI"",""Jimmy Butler"",""F-G"",""Marquette University"",2012,2019,523,32.9,16.7,4.9,3.5,1.6,0.5,0.454,0.486,0.341,0.835,66.1,0.184"
"2002,""NBA"",1,1,""HOU"",""Yao Ming"",""C"","""",2003,2011,486,32.5,19,9.2,1.6,0.4,1.9,0.524,0.525,0.2,0.833,65.9,0.2"
"2011,""NBA"",1,15,""IND"",""Kawhi Leonard"",""F"",""San Diego State University"",2012,2019,467,30.8,17.7,6.3,2.4,1.8,0.7,0.495,0.538,0.383,0.848,65.8,0.219"
"2010,""NBA"",1,10,""IND"",""Paul George"",""F"",""California State University Fresno"",2011,2019,604,33.8,19.8,6.4,3.3,1.8,0.4,0.433,0.47,0.378,0.844,65.2,0.153"
"2008,""NBA"",1,24,""SEA"",""Serge Ibaka"",""F-C"","""",2010,2019,753,28.7,12.3,7.3,0.7,0.4,2.2,0.514,0.547,0.357,0.761,63.9,0.142"
"2000,""NBA"",1,16,""SAC"",""Hedo T?rko?lu"",""F"","""",2001,2015,997,26.8,11.1,4,2.8,0.8,0.3,0.426,0.45,0.384,0.784,63.3,0.114"
"2002,""NBA"",1,23,""DET"",""Tayshaun Prince"",""F"",""University of Kentucky"",2003,2016,1017,31,11.1,4.3,2.4,0.6,0.5,0.455,0.47,0.367,0.756,63.1,0.096"
"2005,""NBA"",1,2,""ATL"",""Marvin Williams"",""F"",""University of North Carolina"",2006,2019,1014,28.6,10.5,5.3,1.3,0.8,0.5,0.443,0.48,0.362,0.807,62.7,0.104"
"2007,""NBA"",1,9,""CHI"",""Joakim Noah"",""C"",""University of Florida"",2008,2019,667,27.9,8.8,9.1,2.8,0.8,1.3,0.491,0.493,0,0.7,61.8,0.16"
"2004,""NBA"",1,26,""SAC"",""Kevin Martin"",""G"",""Western Carolina University"",2005,2016,714,30.2,17.4,3.2,1.9,0.9,0.1,0.437,0.464,0.384,0.87,61.3,0.137"
"2005,""NBA"",2,57,""PHO"",""Marcin Gortat"",""C-F"","""",2008,2019,806,25.7,9.9,7.9,1.1,0.5,1.1,0.551,0.553,0.15,0.68,61.3,0.142"
"2000,""NBA"",1,5,""ORL"",""Mike Miller"",""F-G"",""University of Florida"",2001,2017,1032,26.9,10.6,4.2,2.6,0.6,0.2,0.459,0.502,0.407,0.769,60.7,0.105"
"2000,""NBA"",1,8,""CLE"",""Jamal Crawford"",""G"",""University of Michigan"",2001,2019,1326,29.4,14.6,2.2,3.4,0.9,0.2,0.41,0.449,0.348,0.862,60.6,0.075"
"2009,""NBA"",1,9,""TOR"",""DeMar DeRozan"",""G-F"",""University of Southern California"",2010,2019,752,34.1,19.9,4.3,3.4,1,0.3,0.451,0.47,0.283,0.828,60.3,0.113"
"2008,""NBA"",1,10,""NJN"",""Brook Lopez"",""C"",""Stanford University"",2009,2019,717,30.9,17.3,6.5,1.5,0.6,1.7,0.498,0.521,0.347,0.791,60.1,0.13"
"2004,""NBA"",2,43,""NYK"",""Trevor Ariza"",""F"",""University of California Los Angeles"",2005,2019,1011,29.8,10.7,4.8,2.2,1.5,0.3,0.422,0.482,0.351,0.728,60,0.095"
"2008,""NBA"",1,26,""SAS"",""George Hill"",""G"",""Indiana University-Purdue University Indianapolis"",2009,2019,726,28.2,11.2,3.1,3.2,0.9,0.3,0.453,0.496,0.378,0.801,59.9,0.14"
"2001,""NBA"",1,25,""SAC"",""Gerald Wallace"",""F"",""University of Alabama"",2002,2015,832,29.7,11.9,5.8,2.1,1.4,0.8,0.469,0.502,0.312,0.709,59.7,0.116"
"2007,""NBA"",1,12,""PHI"",""Thaddeus Young"",""F"",""Georgia Institute of Technology"",2008,2019,901,30.7,13.4,6,1.7,1.5,0.4,0.501,0.524,0.329,0.673,59.7,0.103"
"2005,""NBA"",2,45,""PHI"",""Lou Williams"",""G"","""",2006,2019,936,24.6,14.2,2.2,3.3,0.9,0.2,0.421,0.459,0.349,0.839,59.4,0.124"
"2001,""NBA"",1,5,""GSW"",""Jason Richardson"",""G"",""Michigan State University"",2002,2015,857,34.1,17.1,5,2.7,1.2,0.4,0.438,0.474,0.37,0.707,59.1,0.097"
"2006,""NBA"",1,11,""ORL"",""J.J. Redick"",""G"",""Duke University"",2007,2019,836,25.9,12.9,2,2,0.5,0.1,0.448,0.484,0.413,0.89,58.9,0.131"
"2002,""NBA"",1,3,""GSW"",""Mike Dunleavy"",""F-G"",""Duke University"",2003,2017,986,27.7,11.2,4.3,2.2,0.7,0.3,0.441,0.481,0.377,0.803,58.5,0.103"
"2006,""NBA"",1,21,""PHO"",""Rajon Rondo"",""G"",""University of Kentucky"",2007,2019,825,31.7,10.4,4.8,8.5,1.7,0.1,0.46,0.483,0.315,0.605,58.4,0.107"
"2011,""NBA"",1,1,""CLE"",""Kyrie Irving"",""G"",""Duke University"",2012,2019,508,33.8,22.2,3.6,5.7,1.3,0.3,0.465,0.498,0.39,0.875,58.4,0.163"
"2012,""NBA"",1,9,""DET"",""Andre Drummond"",""C"",""University of Connecticut"",2013,2019,542,30.8,14.1,13.7,1.2,1.3,1.6,0.543,0.547,0.147,0.448,56.4,0.162"
"2000,""NBA"",2,43,""MIL"",""Michael Redd"",""G"",""Ohio State University"",2001,2012,629,32,19,3.8,2.1,0.9,0.1,0.447,0.475,0.38,0.838,55.9,0.134"
"2005,""NBA"",2,56,""DET"",""Amir Johnson"",""F-C"","""",2006,2019,870,21.1,7,5.4,1.2,0.6,1,0.57,0.588,0.332,0.673,55.3,0.145"
