Player,AP Player of the Year,NABC Defensive Player of the Year,NABC Player of the Year,Naismith Award,NCAA Tournament Most Outstanding Player,NIT Most Valuable Player,Rupp Trophy,Sporting News Player of the Year,UPI Player of the Year,USBWA Freshman of the Year
Larry Hughes(Saint Louis),,,,,,,,,,1
Larry Johnson(Nevada-Las Vegas),,,1,1,,,,1,,
Lonzo Ball(UCLA),,,,,,,,,,1
Luke Hancock(Louisville),,,,,1,,,,,
Luol Deng(Duke),,,,,,,,,,1
Malcolm Brogdon(Virginia),,1,,,,,,,,
Marcus Camby(Massachusetts),1,,1,1,,,1,1,,
Marcus Hatten(St. John's (NY)),,,,,,1,,,,
Marcus Hill(Tulsa),,,,,,1,,,,
Marcus Smart(Oklahoma State),,,,,,,,,,1
Mario Chalmers(Kansas),,,,,1,,,,,
Marvin Williams(North Carolina),,,,,,,,,,1
Mateen Cleaves(Michigan State),,,,,1,,,,,
Michael Beasley(Kansas State),,,,,,,,,,1
Miles Simon(Arizona),,,,,1,,,,,
Nick Collison(Kansas),,,1,,,,,,,
Pierre Jackson(Baylor),,,,,,1,,,,
Quentin Richardson(DePaul),,,,,,,,,,1
Ray Allen(Connecticut),,,,,,,,,1,
Renaldo Balkman(South Carolina),,,,,,1,,,,
Richard Hamilton(Connecticut),,,,,1,,,,,
Robert O'Kelley(Wake Forest),,,,,,1,,,,
Robert Traylor(Michigan),,,,,,1,,,,
Rodney Rogers(Wake Forest),,,,,,,,,,1
Ryan Arcidiacono(Villanova),,,,,1,,,,,
Sean Lampley(University of California),,,,,,1,,,,
Sean May(North Carolina),,,,,1,,,,,
Shabazz Napier(Connecticut),,,,,1,,,,,
Shane Battier(Duke),1,1,,1,1,,1,1,,
Shaquille O'Neal(Louisiana State),1,,,,,,1,,1,
Shawn Respert(Michigan State),,,1,,,,,1,,
Shawn Smith(Virginia Tech),,,,,,1,,,,
Shelden Williams(Duke),,1,,,,,,,,
Stacey Augmon(Nevada-Las Vegas),,1,,,,,,,,
Steve Wojciechowski(Duke),,1,,,,,,,,
T.J. Ford(Texas),,,,1,,,,1,,1
Tim Duncan(Wake Forest),1,1,1,1,,,1,1,,
Tony Delk(Kentucky),,,,,1,,,,,
Trae Young(Oklahoma),,,,,,,,,,1
Trey Burke(Michigan),1,,1,1,,,,,,
Tyler Cavanaugh(George Washington,,,,,,1,,,,
Tyler Hansbrough(North Carolina),1,,1,1,,,1,1,,1
Tyreke Evans(Memphis),,,,,,,,,,1
Tyus Jones(Duke),,,,,1,,,,,
Victor Oladipo(Indiana),,1,,,,,1,1,,
Voshon Lenard(Minnesota),,,,,,1,,,,
Wayne Ellington(North Carolina),,,,,1,,,,,
Willie Cauley-Stein(Kentucky),,1,,,,,,,,
Zion Williamson(Duke),1,,1,1,,,,1,,1
