Year,Lg,Rd,Pk,Tm,Player,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2018,NBA,1,11,CHO,Shai Gilgeous-Alexander,G,ca,University of Kentucky,2019,2019,82,26.5,10.8,2.8,3.3,1.2,0.5,0.476,0.503,0.367,0.8,3.3,0.074
2004,NBA,1,29,IND,David Harrison,C,us,University of Colorado,2005,2008,189,14.2,5,2.9,0.2,0.3,1,0.53,0.53,,0.525,3.2,0.057
2006,NBA,1,30,POR,Joel Freeland,F-C,gb,,2013,2015,151,12.1,3.2,3.4,0.4,0.2,0.4,0.459,0.461,0,0.728,3.2,0.084
2015,NBA,1,25,MEM,Jarell Martin,F,us,Louisiana State University,2016,2019,184,15.9,5.4,3.5,0.6,0.4,0.4,0.434,0.457,0.346,0.766,3.2,0.053
2015,NBA,2,44,PHO,Andrew Harrison,G,us,University of Kentucky,2017,2019,145,20.6,7,2,2.8,0.7,0.3,0.373,0.422,0.294,0.779,3.2,0.051
2016,NBA,1,29,SAS,Dejounte Murray,G,us,University of Washington,2017,2018,119,17.4,6.6,4.2,2.3,0.9,0.3,0.441,0.452,0.316,0.708,3.2,0.074
2017,NBA,2,35,ORL,Ivan Rabb,F,us,University of California,2018,2019,85,14.6,5.7,4.3,1,0.3,0.3,0.555,0.57,0.2,0.743,3.2,0.125
2001,NBA,2,46,MIN,Loren Woods,F-C,us,University of Arizona,2002,2008,215,11.3,2.6,3.2,0.3,0.3,0.6,0.419,0.423,0.143,0.642,3.1,0.062
2005,NBA,1,15,NJN,Antoine Wright,G-F,us,Texas A&M University,2006,2011,297,19.2,5.4,2.3,1,0.5,0.2,0.412,0.467,0.304,0.674,3.1,0.026
2007,NBA,1,6,MIL,Yi Jianlian,F,cn,,2008,2012,272,22.2,7.9,4.9,0.7,0.5,0.7,0.404,0.413,0.333,0.78,3.1,0.025
2016,NBA,1,14,CHI,Denzel Valentine,G,us,Michigan State University,2017,2018,134,22.9,8,4.1,2.3,0.7,0.1,0.399,0.434,0.374,0.754,3.1,0.048
2001,NBA,1,11,BOS,Kedrick Brown,G,us,Okaloosa-Walton Community College,2002,2005,143,13.5,3.6,2.4,0.7,0.6,0.2,0.405,0.471,0.274,0.64,3,0.074
2005,NBA,2,48,SEA,Mickaël Gelabale,F,gp,,2007,2013,145,16.2,4.6,2.3,0.8,0.3,0.2,0.47,0.519,0.316,0.815,3,0.062
2007,NBA,1,17,NJN,Sean Williams,C-F,us,Boston College,2008,2012,137,14.4,4.2,3.4,0.3,0.3,1.2,0.511,0.512,0,0.624,3,0.073
2011,NBA,1,26,DAL,Jordan Hamilton,G-F,us,University of Texas at Austin,2012,2016,151,13.9,5.9,2.8,0.8,0.5,0.2,0.408,0.451,0.357,0.67,3,0.069
2011,NBA,1,28,CHI,Norris Cole,G,us,Cleveland State University,2012,2017,360,22.3,7,2,2.7,0.8,0.1,0.407,0.436,0.324,0.743,3,0.018
2012,NBA,1,23,ATL,John Jenkins,G,us,Vanderbilt University,2013,2019,171,12.8,5,1.5,0.8,0.2,0.1,0.441,0.503,0.367,0.847,3,0.065
2013,NBA,2,48,LAL,Ryan Kelly,F,us,Duke University,2014,2017,163,19.2,6,3.1,1.3,0.5,0.5,0.378,0.416,0.316,0.797,3,0.046
2016,NBA,1,23,BOS,Ante Žiži?,F-C,hr,,2018,2019,91,14.2,6.4,4.2,0.6,0.2,0.4,0.583,0.583,,0.708,3,0.11
2016,NBA,1,28,PHO,Skal Labissière,F,ht,University of Kentucky,2017,2019,115,17.6,7.6,4.3,1,0.4,0.6,0.48,0.492,0.375,0.746,3,0.07
2002,NBA,2,44,CHI,Lonny Baxter,F,us,University of Maryland,2003,2006,162,11.6,3.9,2.9,0.2,0.2,0.4,0.466,0.469,0.2,0.657,2.9,0.075
2008,NBA,2,33,POR,Joey Dorsey,F,us,University of Memphis,2009,2015,130,11.4,2.6,3.9,0.4,0.5,0.3,0.534,0.536,0,0.375,2.9,0.092
2009,NBA,1,14,PHO,Earl Clark,F,us,University of Louisville,2010,2015,261,13.9,4.4,3,0.5,0.3,0.5,0.403,0.424,0.328,0.664,2.9,0.038
2018,NBA,1,10,PHI,Mikal Bridges,G,us,Villanova University,2019,2019,82,29.5,8.3,3.2,2.1,1.6,0.5,0.43,0.548,0.335,0.805,2.9,0.058
2018,NBA,1,12,LAC,Miles Bridges,G-F,us,Michigan State University,2019,2019,80,21.2,7.5,4,1.2,0.7,0.6,0.464,0.553,0.325,0.753,2.9,0.083
2016,NBA,2,38,MIL,Patrick McCaw,G,us,University of Nevada Las Vegas,2017,2019,157,15.5,3.7,1.5,1.2,0.6,0.2,0.42,0.513,0.299,0.791,2.8,0.056
2017,NBA,2,46,PHI,Sterling Brown,G,us,Southern Methodist University,2018,2019,112,16.2,5.3,2.9,1,0.5,0.2,0.439,0.509,0.357,0.758,2.8,0.074
2000,NBA,1,4,CHI,Marcus Fizer,F,us,Iowa State University,2001,2006,289,20.9,9.6,4.6,1.2,0.5,0.3,0.435,0.446,0.191,0.691,2.7,0.022
2014,NBA,1,5,UTA,Dante Exum,G,au,,2015,2019,204,19.3,5.9,1.8,2.3,0.4,0.2,0.4,0.477,0.304,0.77,2.7,0.033
