,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,eFG%,WS,AP Player of the Year,NABC Defensive Player of the Year,NABC Player of the Year,Naismith Award,NCAA Tournament Most Outstanding Player,NIT Most Valuable Player,Rupp Trophy,Sporting News Player of the Year,UPI Player of the Year,USBWA Freshman of the Year,Year,Rd,Pk,Tm,Projected Rd,Projected Pk,Team Score
5782,Von Wafer,SO,2005,G,Florida State,ACC,29,26.138,4.276,9.793,2.0340000000000003,4.138,2.241,5.655,1.69,2.345,0.172,2.345,2.517,1.655,1.034,0.276,1.69,1.138,12.482999999999999,23.37,0.457,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,2.0,39.0,LAL,2.0,39.0,0.0
5795,Ronny Turiaf,SR,2005,F,Gonzaga,WCC,31,31.194000000000003,5.065,9.968,5.0,9.742,0.065,0.226,5.71,8.355,2.387,7.129,9.516,1.548,0.387,1.903,2.258,2.677,15.902999999999999,28.16,0.525,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,2.0,37.0,LAL,2.0,37.0,0.0
5851,Wayne Simien,SR,2005,F,Kansas,Big 12,26,34.308,7.346,13.308,7.192,12.769,0.154,0.5379999999999999,5.462000000000001,6.692,3.2310000000000003,7.808,11.038,1.385,0.5770000000000001,0.615,2.3080000000000003,2.577,20.308,31.01,0.5529999999999999,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,1.0,29.0,MIA,1.0,29.0,0.0
5859,Salim Stoudamire,SR,2005,G,Arizona,Pac-10,36,31.278000000000002,5.832999999999999,11.583,2.5,4.9719999999999995,3.333,6.611000000000001,3.389,3.722,0.25,2.056,2.306,2.167,0.833,0.111,2.3609999999999998,1.8330000000000002,18.389,26.6,0.569,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,2.0,31.0,ATL,2.0,31.0,0.0
5949,Brandon Bass,SO,2005,F,Louisiana State,SEC,30,33.567,6.0329999999999995,10.633,5.632999999999999,9.767000000000001,0.4,0.867,4.867,6.267,2.733,6.332999999999999,9.067,0.833,0.8,1.6,1.8,2.4330000000000003,17.333,28.51,0.515,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,2.0,33.0,NOH,2.0,33.0,0.0
5972,Alex Acker,JR,2005,G,Pepperdine,WCC,31,37.161,5.903,13.129000000000001,4.0,8.71,1.903,4.419,2.935,3.4189999999999996,1.419,5.065,6.484,3.677,1.29,0.484,2.645,1.871,16.645,24.4,0.53,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,2.0,60.0,DET,2.0,60.0,0.0
6024,Hakim Warrick,SR,2005,F,Syracuse,Big East,34,37.5,7.441,13.588,7.176,12.675999999999998,0.265,0.912,6.206,9.118,3.1180000000000003,5.529,8.647,1.4709999999999999,0.971,0.794,2.529,2.324,21.353,29.24,0.555,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,1.0,19.0,MEM,1.0,19.0,0.0
6062,Antoine Wright,JR,2005,F,Texas A&M,Big 12,31,33.935,6.226,12.419,3.935,7.29,2.29,5.129,3.097,4.484,1.645,4.323,5.968,2.226,1.161,0.71,2.419,2.548,17.839000000000002,26.89,0.44299999999999995,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,1.0,15.0,NJN,1.0,15.0,0.0
6068,Bracey Wright,JR,2005,G,Indiana,Big Ten,26,35.269,5.769,13.962,3.846,8.115,1.923,5.846,4.846,6.192,1.2690000000000001,3.5380000000000003,4.808,2.6919999999999997,1.115,0.5770000000000001,2.615,1.923,18.308,25.99,0.455,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,2.0,47.0,MIN,2.0,47.0,0.0
6077,Deron Williams,JR,2005,G,Illinois,Big Ten,39,33.718,4.564,10.538,2.821,5.744,1.744,4.795,1.6669999999999998,2.4619999999999997,0.359,3.282,3.641,6.769,0.9740000000000001,0.205,2.795,2.051,12.538,21.51,0.506,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,1.0,3.0,UTA,1.0,3.0,0.0
6249,Rashad McCants,JR,2005,G,North Carolina,ACC,33,25.939,5.545,11.333,3.3939999999999997,6.242000000000001,2.1519999999999997,5.091,2.758,3.818,0.818,2.182,3.0,2.667,1.3030000000000002,0.667,1.909,2.424,16.0,31.56,0.573,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,1.0,14.0,MIN,1.0,14.0,0.0
6254,Sean May,JR,2005,C,North Carolina,ACC,37,26.811,6.162000000000001,10.865,6.162000000000001,10.784,0.0,0.081,5.162000000000001,6.811,3.838,6.892,10.73,1.676,1.162,1.0270000000000001,2.541,2.378,17.486,37.29,0.47200000000000003,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2005.0,1.0,13.0,CHA,1.0,13.0,0.0
6256,Jason Maxiell,SR,2005,F,Cincinnati,CUSA,33,31.424,4.97,9.152000000000001,4.909,9.0,0.061,0.152,5.332999999999999,8.273,3.2119999999999997,4.485,7.697,0.848,1.0,2.727,1.939,2.485,15.333,28.88,0.445,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,1.0,26.0,DET,1.0,26.0,0.0
6291,Lawrence Roberts,SR,2005,F,Mississippi State,SEC,32,31.969,5.343999999999999,11.937999999999999,4.968999999999999,10.655999999999999,0.375,1.281,5.875,9.0,3.438,7.531000000000001,10.969000000000001,1.906,1.5619999999999998,0.812,2.719,2.156,16.938,30.91,0.43799999999999994,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,2.0,55.0,SEA,2.0,55.0,0.0
6361,Nate Robinson,JR,2005,G,Washington,Pac-10,35,31.456999999999997,5.371,11.6,3.6,7.0,1.771,4.6,3.886,4.971,1.514,2.343,3.8569999999999998,4.257,1.743,0.171,2.029,2.8289999999999997,16.4,28.99,0.498,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,1.0,21.0,PHO,1.0,21.0,0.0
6456,Chris Paul,SO,2005,G,Wake Forest,ACC,32,33.406,4.468999999999999,9.906,3.031,6.875,1.4380000000000002,3.031,4.875,5.843999999999999,0.688,3.812,4.5,6.625,2.375,0.031,2.781,2.562,15.25,27.79,0.524,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,1.0,4.0,NOH,1.0,4.0,0.0
6566,Ryan Hollins,SR,2006,C,UCLA,Pac-10,33,21.515,2.515,4.061,2.515,4.061,0.0,0.0,1.97,3.273,1.97,2.7880000000000003,4.758,0.303,0.212,0.879,1.1520000000000001,2.545,7.0,17.4,0.594,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,50.0,CHA,2.0,50.0,0.0
6610,Daniel Gibson,SO,2006,G,Texas,Big 12,37,33.189,4.405,10.865,1.676,3.676,2.73,7.189,1.865,2.568,1.135,2.459,3.595,3.135,1.324,0.324,1.892,2.378,13.405,22.01,0.535,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,42.0,CLE,2.0,42.0,0.0
6618,Rudy Gay,SO,2006,F,Connecticut,Big East,33,30.758000000000003,5.667000000000001,12.302999999999999,4.8180000000000005,9.636000000000001,0.848,2.667,3.0610000000000004,4.1819999999999995,2.0,4.364,6.364,2.061,1.758,1.5759999999999998,2.485,2.273,15.242,28.09,0.51,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,8.0,HOU,1.0,8.0,0.0
6744,Kyle Lowry,SO,2006,G,Villanova,Big East,33,29.303,3.545,7.606,3.303,7.061,0.242,0.545,3.667,4.667,1.818,2.515,4.333,3.697,2.333,0.242,2.121,2.8480000000000003,11.0,23.62,0.43799999999999994,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,24.0,MEM,1.0,24.0,0.0
6830,Solomon Jones,SR,2006,C,South Florida,Big East,29,36.414,4.793,9.897,4.793,9.828,0.0,0.069,3.6210000000000004,4.655,3.207,6.621,9.828,1.345,0.862,3.069,3.483,3.4139999999999997,13.207,21.02,0.546,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,33.0,ATL,2.0,33.0,0.0
6841,Alexander Johnson,JR,2006,C,Florida State,ACC,29,24.930999999999997,4.379,8.103,4.069,7.103,0.31,1.0,4.138,5.862,2.552,4.897,7.4479999999999995,0.7240000000000001,1.069,1.034,2.8280000000000003,3.207,13.207,26.81,0.46399999999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,45.0,IND,2.0,45.0,0.0
6859,Rodney Carney,SR,2006,F,Memphis,CUSA,37,27.756999999999998,5.946000000000001,13.649000000000001,3.1889999999999996,6.595,2.7569999999999997,7.053999999999999,2.541,3.568,1.541,2.73,4.27,1.27,1.324,0.6759999999999999,1.459,2.27,17.189,32.01,0.483,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,16.0,CHI,1.0,16.0,0.0
6921,Mardy Collins,SR,2006,G,Temple,A-10,32,37.875,6.312,14.625,5.0,10.344000000000001,1.3119999999999998,4.281000000000001,2.812,4.718999999999999,1.4380000000000002,3.25,4.688,3.969,2.781,0.188,2.031,2.219,16.75,25.96,0.424,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,29.0,NYK,1.0,29.0,0.0
6963,Will Blalock,JR,2006,G,Iowa State,Big 12,30,35.733000000000004,5.9,13.2,4.333,9.267000000000001,1.567,3.9330000000000003,2.0,3.033,0.8,2.5,3.3,6.132999999999999,2.167,0.067,2.967,1.8330000000000002,15.367,24.69,0.46799999999999997,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,60.0,DET,2.0,60.0,0.0
6983,Josh Boone,JR,2006,C,Connecticut,Big East,34,27.118000000000002,4.029,7.147,4.029,7.147,0.0,0.0,2.235,4.088,3.1180000000000003,3.8819999999999997,7.0,0.647,0.382,2.029,1.235,2.1180000000000003,10.294,23.78,0.5539999999999999,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,23.0,NJN,1.0,23.0,0.0
7023,Shannon Brown,JR,2006,G,Michigan State,Big Ten,34,35.176,5.941,12.735,4.059,7.912000000000001,1.882,4.824,3.4410000000000003,4.147,1.1179999999999999,3.2939999999999996,4.412,2.735,1.4709999999999999,0.147,2.5,2.294,17.206,24.43,0.502,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,25.0,CLE,1.0,25.0,0.0
7033,Denham Brown,SR,2006,F,Connecticut,Big East,32,23.561999999999998,3.656,9.062000000000001,2.719,6.188,0.938,2.875,2.469,2.844,1.3119999999999998,3.094,4.406000000000001,1.375,0.7809999999999999,0.375,1.656,1.656,10.719000000000001,23.61,0.52,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,40.0,SEA,2.0,40.0,0.0
7047,Ronnie Brewer,JR,2006,G,Arkansas,SEC,32,34.75,6.156000000000001,13.969000000000001,4.562,9.25,1.594,4.718999999999999,4.5,6.0,1.219,3.594,4.812,3.25,2.594,0.469,2.188,1.4380000000000002,18.406,29.98,0.513,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,14.0,UTA,1.0,14.0,0.0
7112,Jordan Farmar,SO,2006,G,UCLA,Pac-10,37,30.405,4.649,11.350999999999999,2.946,6.242999999999999,1.703,5.1080000000000005,2.459,3.432,0.568,2.0,2.568,5.1080000000000005,1.1079999999999999,0.243,3.6489999999999996,1.703,13.459000000000001,21.94,0.469,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,26.0,LAL,1.0,26.0,0.0
7116,Randy Foye,SR,2006,G,Villanova,Big East,33,34.696999999999996,6.848,16.667,4.152,8.97,2.697,7.697,4.121,5.212000000000001,1.636,4.121,5.757999999999999,3.03,1.3940000000000001,0.636,2.1519999999999997,2.1519999999999997,20.515,31.33,0.41,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,7.0,BOS,1.0,7.0,0.0
7234,Quincy Douby,JR,2006,G,Rutgers,Big East,33,36.696999999999996,8.697000000000001,18.817999999999998,5.182,10.061,3.515,8.758,4.515,5.332999999999999,0.818,3.455,4.273,3.1210000000000004,1.758,0.818,2.7880000000000003,1.848,25.424,34.49,0.474,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,19.0,SAC,1.0,19.0,0.0
7281,P.J. Tucker,JR,2006,F,Texas,Big 12,37,34.486,6.081,11.811,6.027,11.73,0.054000000000000006,0.081,3.838,5.135,2.838,6.702999999999999,9.541,2.865,1.784,0.35100000000000003,3.108,2.838,16.054000000000002,26.12,0.526,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,35.0,TOR,2.0,35.0,0.0
7286,Tyrus Thomas,FR,2006,F,Louisiana State,SEC,32,25.906,4.75,7.812,4.718999999999999,7.781000000000001,0.031,0.031,2.812,4.281000000000001,2.812,6.406000000000001,9.219,1.3119999999999998,1.031,3.094,1.844,2.562,12.344000000000001,31.66,0.61,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,4.0,POR,1.0,4.0,0.0
7390,Craig Smith,SR,2006,F,Boston College,ACC,36,36.25,6.75,11.777999999999999,6.722,11.444,0.027999999999999997,0.33299999999999996,4.056,6.306,3.111,6.306,9.417,3.028,1.222,0.8059999999999999,2.472,2.972,17.583,27.5,0.51,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,36.0,MIN,2.0,36.0,0.0
7442,Renaldo Balkman,JR,2006,F,South Carolina,SEC,38,25.737,4.0,6.579,3.895,6.237,0.105,0.342,1.474,2.737,2.1319999999999997,4.158,6.289,1.921,1.7109999999999999,1.263,1.7109999999999999,2.211,9.579,24.76,0.48100000000000004,2.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2006.0,1.0,20.0,NYK,1.0,20.0,0.0
7454,James Augustine,SR,2006,F,Illinois,Big Ten,33,32.696999999999996,5.273,8.455,5.242000000000001,8.394,0.03,0.061,3.0,4.606,3.03,6.061,9.091000000000001,1.788,1.4240000000000002,0.727,2.03,2.545,13.575999999999999,24.84,0.2,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,41.0,ORL,2.0,41.0,0.0
7490,Maurice Ager,SR,2006,G,Michigan State,Big Ten,34,34.412,6.647,14.559000000000001,4.206,8.059,2.441,6.5,3.5589999999999997,4.676,0.706,3.3819999999999997,4.088,2.471,0.6759999999999999,0.324,2.559,2.3819999999999997,19.294,25.82,0.469,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,28.0,DAL,1.0,28.0,0.0
7496,LaMarcus Aldridge,SO,2006,F,Texas,Big 12,37,33.703,5.919,10.405,5.919,10.405,0.0,0.0,3.162,4.8919999999999995,3.6489999999999996,5.513999999999999,9.162,0.541,1.351,1.973,1.595,2.4859999999999998,15.0,27.14,0.6629999999999999,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,2.0,CHI,1.0,2.0,0.0
7501,Hassan Adams,SR,2006,G,Arizona,Pac-10,31,33.258,7.547999999999999,15.806,7.0,13.71,0.5479999999999999,2.097,1.871,3.065,2.161,2.839,5.0,2.903,2.645,0.452,2.226,1.935,17.516,29.74,0.504,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,54.0,NJN,2.0,54.0,0.0
7511,Hilton Armstrong,SR,2006,C,Connecticut,Big East,34,27.735,3.471,5.706,3.4410000000000003,5.647,0.028999999999999998,0.059000000000000004,2.7060000000000004,3.912,2.0,4.647,6.647,0.735,0.618,3.147,2.265,2.765,9.676,21.0,0.5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,12.0,NOK,1.0,12.0,0.0
7531,Shelden Williams,SR,2006,F,Duke,ACC,36,33.278,6.582999999999999,11.389000000000001,6.528,11.222000000000001,0.055999999999999994,0.16699999999999998,5.582999999999999,7.5,3.25,7.417000000000001,10.667,1.083,1.6669999999999998,3.806,2.472,3.167,18.805999999999997,34.52,0.516,3.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,5.0,ATL,1.0,5.0,0.0
7532,Shawne Williams,FR,2006,F,Memphis,CUSA,36,27.833000000000002,4.333,10.417,3.0,6.138999999999999,1.3330000000000002,4.2780000000000005,3.167,4.0280000000000005,1.722,4.444,6.167000000000001,1.861,1.389,1.361,2.25,2.917,13.167,26.47,0.48,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,17.0,IND,1.0,17.0,0.0
7622,Adam Morrison,JR,2006,F,Gonzaga,WCC,33,36.515,9.273,18.697,7.03,13.455,2.242,5.242000000000001,7.273,9.424,1.4240000000000002,4.091,5.515,1.6969999999999998,1.061,0.33299999999999996,2.303,2.0,28.061,36.38,0.564,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,3.0,CHA,1.0,3.0,0.0
7676,Patrick O'Bryant,SO,2006,C,Bradley,MVC,25,25.68,5.32,9.64,5.32,9.64,0.0,0.0,2.76,4.08,2.92,5.36,8.28,0.84,0.88,2.88,2.08,2.96,13.4,31.17,0.557,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,9.0,GSW,1.0,9.0,0.0
7691,Steve Novak,SR,2006,F,Marquette,Big East,31,33.774,5.581,11.71,1.6769999999999998,3.355,3.903,8.355,2.387,2.452,1.097,4.806,5.903,1.258,0.581,0.129,1.032,2.065,17.452,26.34,0.711,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,32.0,HOU,2.0,32.0,0.0
7713,Paul Millsap,JR,2006,F,Louisiana Tech,WAC,33,34.121,7.818,13.697000000000001,7.667000000000001,13.273,0.152,0.424,3.8480000000000003,6.182,5.97,7.303,13.273,1.091,1.879,2.303,2.515,3.0610000000000004,19.636,36.17,0.589,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,47.0,UTA,2.0,47.0,0.0
7801,Rajon Rondo,SO,2006,G,Kentucky,SEC,34,31.0,4.324,8.971,3.7939999999999996,7.029,0.529,1.9409999999999998,2.0,3.5,1.088,5.059,6.147,4.912,2.029,0.147,2.324,2.059,11.175999999999998,23.49,0.535,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,21.0,PHO,1.0,21.0,0.0
7823,Brandon Roy,SR,2006,G,Washington,Pac-10,33,31.697,6.909,13.606,5.727,10.667,1.182,2.9389999999999996,5.182,6.394,2.0909999999999997,3.545,5.636,4.091,1.3940000000000001,0.7879999999999999,2.273,2.455,20.182000000000002,34.92,0.508,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,6.0,MIN,1.0,6.0,0.0
7863,Cedric Simmons,SO,2006,C,North Carolina State,ACC,32,27.5,4.0,6.812,3.938,6.75,0.062,0.062,3.75,5.531000000000001,1.75,4.593999999999999,6.343999999999999,1.6880000000000002,0.6559999999999999,2.5,1.844,3.062,11.812000000000001,25.24,0.506,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1.0,15.0,NOK,1.0,15.0,0.0
7949,J.R. Pinnock,JR,2006,G,George Washington,A-10,30,31.6,5.4670000000000005,11.267000000000001,4.633,8.232999999999999,0.833,3.033,2.767,3.9,1.6,3.667,5.267,3.0669999999999997,2.4,0.467,2.033,1.9669999999999999,14.533,27.3,0.512,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,58.0,DAL,2.0,58.0,0.0
7967,J.J. Redick,SR,2006,G,Duke,ACC,36,37.111,8.389,17.861,4.5280000000000005,8.693999999999999,3.861,9.167,6.138999999999999,7.111000000000001,0.19399999999999998,1.778,1.972,2.639,1.444,0.055999999999999994,2.5,1.5,26.778000000000002,33.48,0.544,4.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2006.0,1.0,11.0,ORL,1.0,11.0,0.0
7991,Leon Powe,SO,2006,F,University of California,Pac-10,27,35.296,6.593,13.296,6.481,12.963,0.111,0.33299999999999996,7.185,10.0,3.2960000000000003,6.815,10.111,1.4069999999999998,0.889,0.556,2.444,2.481,20.480999999999998,30.39,0.488,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,49.0,DEN,2.0,49.0,0.0
8015,Morris Almond,SR,2007,G,Rice,CUSA,32,33.406,8.219,17.0,5.812,11.719000000000001,2.406,5.281000000000001,7.531000000000001,8.906,1.344,5.218999999999999,6.562,1.156,1.188,0.75,3.406,2.125,26.375,36.4,0.581,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,1.0,25.0,UTA,1.0,25.0,0.0
8035,Arron Afflalo,JR,2007,G,UCLA,Pac-10,36,32.944,5.832999999999999,12.667,3.417,6.222,2.417,6.444,2.806,3.5,0.41700000000000004,2.333,2.75,1.944,0.611,0.222,1.778,1.8330000000000002,16.889,23.75,0.523,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,1.0,27.0,DET,1.0,27.0,0.0
8148,Demetris Nichols,SR,2007,F,Syracuse,Big East,35,34.771,6.428999999999999,14.370999999999999,3.571,7.513999999999999,2.8569999999999998,6.857,3.2289999999999996,3.8,1.429,4.0,5.428999999999999,1.5430000000000001,1.4,1.057,2.2,2.086,18.942999999999998,28.0,0.41700000000000004,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,2.0,53.0,POR,2.0,53.0,0.0
8159,Joakim Noah,JR,2007,C,Florida,SEC,40,25.85,4.325,7.125,4.3,7.1,0.025,0.025,3.3,4.975,2.55,5.875,8.425,2.25,1.125,1.8,2.5,2.25,11.975,28.82,0.6,1.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2007.0,1.0,9.0,CHI,1.0,9.0,0.0
8162,Greg Oden,FR,2007,C,Ohio State,Big Ten,32,28.906,5.906000000000001,9.594,5.906000000000001,9.594,0.0,0.0,3.844,6.125,3.531,6.031000000000001,9.562000000000001,0.6559999999999999,0.562,3.281,2.0,2.719,15.655999999999999,32.37,0.616,8.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,1.0,1.0,POR,1.0,1.0,0.0
8173,David Noel,FR,2007,0,Virginia,ACC,2,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,13.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2.0,39.0,MIL,2.0,39.0,0.0
8232,Chris Richard,SR,2007,C,Florida,SEC,40,18.375,2.45,3.55,2.45,3.55,0.0,0.0,1.3,2.075,1.575,2.1,3.675,0.425,0.325,0.3,1.175,2.3,6.2,16.51,0.33299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,2.0,41.0,MIN,2.0,41.0,0.0
8276,Gabe Pruitt,JR,2007,G,Southern California,Pac-10,26,33.115,4.0,9.615,2.154,4.346,1.8459999999999999,5.269,2.615,3.2689999999999997,0.5770000000000001,2.231,2.8080000000000003,4.346,1.808,0.26899999999999996,1.8459999999999999,2.154,12.462,22.14,0.512,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,2.0,32.0,BOS,2.0,32.0,0.0
8419,Josh McRoberts,SO,2007,F,Duke,ACC,33,35.273,4.97,9.908999999999999,4.8180000000000005,9.212,0.152,0.6970000000000001,2.9389999999999996,4.4239999999999995,2.0909999999999997,5.787999999999999,7.879,3.455,1.182,2.485,2.424,2.515,13.03,23.82,0.618,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,2.0,37.0,POR,2.0,37.0,0.0
8427,Dominic McGuire,JR,2007,G,Fresno State,WAC,32,32.938,4.781000000000001,10.156,4.156000000000001,8.062000000000001,0.625,2.094,3.312,5.656000000000001,2.188,7.625,9.812000000000001,3.25,0.875,3.562,3.719,2.844,13.5,25.46,0.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,2.0,47.0,WAS,2.0,47.0,0.0
8431,Sammy Mejia,SR,2007,G,DePaul,Big East,34,33.529,5.529,11.5,4.294,8.0,1.235,3.5,1.824,3.029,2.176,3.765,5.941,2.6180000000000003,1.0290000000000001,0.11800000000000001,1.912,2.1180000000000003,14.118,22.94,0.45899999999999996,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,2.0,57.0,DET,2.0,57.0,0.0
8500,Al Thornton,SR,2007,G,Florida State,ACC,35,31.2,6.971,13.142999999999999,5.943,10.829,1.0290000000000001,2.314,4.743,6.0,3.029,4.143,7.171,0.6859999999999999,1.514,1.143,2.4859999999999998,2.714,19.714000000000002,32.57,0.5429999999999999,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,1.0,14.0,LAC,1.0,14.0,0.0
8548,Alando Tucker,SR,2007,G,Wisconsin,Big Ten,36,32.806,7.111000000000001,15.139000000000001,6.0,11.722000000000001,1.111,3.417,4.556,6.917000000000001,2.167,3.278,5.444,2.028,0.917,0.278,1.6669999999999998,1.25,19.889,31.21,0.621,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,1.0,29.0,PHO,1.0,29.0,0.0
8580,Thaddeus Young,FR,2007,F,Georgia Tech,ACC,31,29.581,5.71,11.935,4.452,8.935,1.258,3.0,1.6769999999999998,2.258,2.323,2.548,4.871,2.032,1.258,0.387,2.161,1.9680000000000002,14.355,25.66,0.531,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,1.0,12.0,PHI,1.0,12.0,0.0
