,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,eFG%,WS,AP Player of the Year,NABC Defensive Player of the Year,NABC Player of the Year,Naismith Award,NCAA Tournament Most Outstanding Player,NIT Most Valuable Player,Rupp Trophy,Sporting News Player of the Year,UPI Player of the Year,USBWA Freshman of the Year,Year,Rd,Pk,Tm,Projected Rd,Projected Pk,Team Score
61,Joel Przybilla,FR,1999,C,Minnesota,Big Ten,28,25.464000000000002,2.821,5.0360000000000005,2.821,5.0360000000000005,0.0,0.0,1.071,1.857,0.0,0.0,5.821000000000001,1.464,0.5710000000000001,3.0,2.286,3.179,6.7139999999999995,12.21,0.613,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,9.0,HOU,1.0,9.0,0.0
63,Lavor Postell,JR,1999,F,St. John's (NY),Big East,37,27.054000000000002,4.649,10.459000000000001,3.5410000000000004,7.784,1.1079999999999999,2.676,2.7030000000000003,3.405,0.0,0.0,6.377999999999999,0.946,0.865,0.324,1.405,1.838,13.107999999999999,20.76,0.45899999999999996,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2.0,39.0,NYK,2.0,39.0,0.0
65,Chris Porter,JR,1999,F,Auburn,SEC,30,28.733,5.9670000000000005,12.7,5.7,11.967,0.267,0.733,3.767,5.9670000000000005,0.0,0.0,8.633,1.133,2.133,0.433,2.367,2.533,15.967,24.16,0.47,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2.0,55.0,GSW,2.0,55.0,0.0
67,Jabari Smith,JR,1999,C,Louisiana State,SEC,27,29.926,4.2589999999999995,8.407,3.815,6.593,0.444,1.815,3.7039999999999997,5.37,0.0,0.0,9.704,1.889,1.185,1.185,3.5189999999999997,2.7039999999999997,12.667,16.58,0.5760000000000001,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2.0,45.0,SAC,2.0,45.0,0.0
74,Speedy Claxton,JR,1999,G,Hofstra,AEC,30,32.333,4.533,9.4,4.333,8.767000000000001,0.2,0.633,4.033,5.033,0.0,0.0,4.367,5.3,2.3,0.5329999999999999,2.867,1.0,13.3,22.88,0.518,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,20.0,PHI,1.0,20.0,0.0
77,Brian Cardinal,JR,1999,F,Purdue,Big Ten,34,28.235,3.471,7.235,2.3819999999999997,4.324,1.088,2.912,3.353,4.324,0.0,0.0,5.471,2.412,2.294,0.41200000000000003,1.9409999999999998,2.912,11.382,20.39,0.474,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2.0,44.0,DET,2.0,44.0,0.0
81,Mateen Cleaves,JR,1999,G,Michigan State,Big Ten,38,31.184,4.184,10.315999999999999,3.0789999999999997,6.526,1.105,3.7889999999999997,2.237,2.842,0.0,0.0,1.632,7.211,1.8159999999999998,0.053,3.7110000000000003,2.0,11.710999999999999,20.21,0.483,3.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,14.0,DET,1.0,14.0,0.0
82,Jason Collier,JR,1999,C,Georgia Tech,ACC,25,33.96,6.12,13.88,4.84,10.28,1.28,3.6,3.68,5.12,0.0,0.0,7.28,1.44,0.6,1.36,3.52,3.48,17.2,18.88,0.515,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,15.0,MIL,1.0,15.0,0.0
91,Erick Barkley,FR,1999,G,St. John's (NY),Big East,37,33.189,4.243,10.73,2.7030000000000003,6.242999999999999,1.541,4.486000000000001,3.486,4.513999999999999,0.0,0.0,3.1889999999999996,4.73,2.2430000000000003,0.27,2.081,2.5140000000000002,13.514000000000001,22.3,0.39,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,28.0,POR,1.0,28.0,0.0
96,Courtney Alexander,JR,1999,G,Fresno State,WAC,32,31.969,8.25,17.594,6.688,12.655999999999999,1.5619999999999998,4.938,3.312,4.375,0.0,0.0,3.781,2.562,1.5619999999999998,0.21899999999999997,2.375,1.0,21.375,30.37,0.498,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,13.0,ORL,1.0,13.0,0.0
