,Player,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,Year,Rd,Pk,Tm
515,Alec Burks,20.79090909,3.136363636,7.527272727,0.417818182,0.718181818,2.009090909,0.327454545,2.390909091,5.5,0.453090909,0.462636364,2.136363636,2.727272727,0.790090909,0.536363636,2.554545455,3.081818182,1.690909091,0.581818182,0.190909091,1.163636364,1.609090909,9.118181818,22.10727273,2011,1,12,UTA
519,Gary Trent,20.09166667,3.733333333,7.75,0.475,0.041666667,0.216666667,0.084583333,3.683333333,7.5,0.485,0.48,1.6,2.508333333,0.612166667,1.725,2.925,4.633333333,1.041666667,0.466666667,0.358333333,1.275,2.216666667,9.1,22.6925,2018,2,37,SAC
521,Troy Murphy,24.33125,3.31875,7.56875,0.4295,0.7125,1.9375,0.3204375,2.6125,5.6375,0.4668125,0.474625,1.725,2.24375,0.7595,1.5375,5.01875,6.55,1.35,0.61875,0.40625,1.05625,2.3625,9.09375,20.476875,2001,1,14,GSW
522,Tristan Thompson,27.3875,3.6625,7.0375,0.52875,0,0,0,3.6625,7.025,0.529875,0.52875,1.8,2.9375,0.59925,3.35,5.175,8.5125,0.95,0.5125,0.675,1.1,2.3125,9.0875,21.4175,2011,1,4,CLE
523,Marcin Gortat,23.7,3.878571429,7.064285714,0.544142857,0,0.014285714,0.178571429,3.878571429,7.035714286,0.545428571,0.544428571,1.321428571,1.935714286,0.678214286,2.042857143,5.335714286,7.392857143,1.028571429,0.442857143,1.014285714,1.1,2.114285714,9.085714286,22.98714286,2005,2,57,PHO
526,Draymond Green,28.28571429,3.3,7.5,0.426285714,0.914285714,2.842857143,0.308714286,2.371428571,4.657142857,0.497428571,0.483714286,1.571428571,2.214285714,0.716714286,1.157142857,5.8,6.971428571,4.985714286,1.371428571,1.1,2.071428571,2.785714286,9.057142857,22.37428571,2012,2,35,GSW
527,Marcus Fizer,19.11666667,3.65,8.166666667,0.45,0.083333333,0.333333333,0.285333333,3.55,7.783333333,0.453833333,0.457666667,1.666666667,2.433333333,0.663666667,1.166666667,3.1,4.25,1.066666667,0.366666667,0.233333333,1.316666667,2.116666667,9.033333333,22.77166667,2000,1,4,CHI
532,Delonte West,25.78,3.44,7.79,0.4402,0.8,2.22,0.3613,2.62,5.57,0.4718,0.4927,1.27,1.59,0.7995,0.49,2.36,2.82,3.46,1.03,0.42,1.62,1.82,8.96,20,2004,1,24,BOS
533,Rudy Fernández,23.75,2.975,7.4,0.40325,1.6,4.475,0.354,1.375,2.875,0.47275,0.5115,1.375,1.675,0.81675,0.5,1.925,2.4,2.225,1,0.175,1.175,1.425,8.925,20.865,2007,1,24,PHO
538,Robin Lopez,22.45454545,3.7,6.963636364,0.528909091,0.018181818,0.054545455,0.046545455,3.690909091,6.890909091,0.532181818,0.529818182,1.463636364,1.945454545,0.746636364,2.345454545,2.790909091,5.118181818,0.790909091,0.245454545,1.172727273,1.081818182,2,8.854545455,22.43727273,2008,1,15,PHO
541,Mason Plumlee,22.925,3.4875,6.2,0.569625,0,0.0375,0.025,3.4875,6.15,0.574375,0.569875,1.8625,3.275,0.568375,2,4.5125,6.5,2.45,0.7875,1,1.525,2.7625,8.8375,24.4875,2013,1,22,BRK
543,Courtney Lee,25.11176471,3.4,7.5,0.449,0.976470588,2.570588235,0.371529412,2.411764706,4.923529412,0.491941176,0.513411765,1.1,1.3,0.823529412,0.411764706,2.076470588,2.470588235,1.594117647,0.947058824,0.270588235,0.858823529,1.547058824,8.829411765,19.30352941,2008,1,22,ORL
545,Greivis Vásquez,23.325,3.325,7.9875,0.4095,1.05,3.025,0.333,2.3,5,0.455625,0.474625,1.15,1.3375,0.8345,0.3,2.0875,2.3625,4.675,0.5125,0.0875,1.8,1.8875,8.8125,20.73875,2010,1,28,MEM
547,Spencer Hawes,22.25714286,3.564285714,7.735714286,0.460928571,0.671428571,1.8,0.327214286,2.9,5.942857143,0.496714286,0.503142857,1.021428571,1.371428571,0.741214286,1.342857143,4.3,5.642857143,1.935714286,0.392857143,0.914285714,1.407142857,2.357142857,8.807142857,22.76214286,2007,1,10,SAC
553,C.J. Miles,19.2,3.1,7.6375,0.402375,1.3625,3.85625,0.34075,1.7375,3.78125,0.4520625,0.4875,1.19375,1.45625,0.80575,0.41875,1.80625,2.225,1.01875,0.65,0.29375,0.8125,1.95,8.76875,22.195,2005,2,34,UTA
555,Mario Chalmers,25.54545455,2.872727273,7.027272727,0.406636364,1.045454545,3.1,0.320272727,1.836363636,3.918181818,0.469363636,0.479909091,1.963636364,2.409090909,0.811181818,0.327272727,2.145454545,2.454545455,3.663636364,1.436363636,0.172727273,1.818181818,2.736363636,8.745454545,19.59636364,2008,2,34,MIN
558,Nate Robinson,18.97058824,3.158823529,7.735294118,0.374764706,1.117647059,3.217647059,0.327117647,2.035294118,4.5,0.411588235,0.444294118,1.235294118,1.576470588,0.724176471,0.476470588,1.341176471,1.8,2.617647059,0.729411765,0.064705882,1.158823529,2.170588235,8.682352941,22.74941176,2005,1,21,PHO
560,J.J. Hickson,20.43333333,3.491666667,6.916666667,0.501333333,0,0.033333333,0,3.491666667,6.883333333,0.504333333,0.501333333,1.716666667,2.925,0.588416667,2.041666667,4.016666667,6.075,0.8,0.491666667,0.55,1.258333333,1.758333333,8.666666667,24.0075,2008,1,19,CLE
563,Luke Kennard,21.4,3.2,7.35,0.4405,1.4,3.5,0.4045,1.8,3.85,0.4745,0.535,0.85,1,0.8455,0.25,2.4,2.65,1.75,0.5,0.2,0.9,1.35,8.65,21.07,2017,1,12,DET
565,Aaron Brooks,19.2625,3.1125,7.6875,0.4033125,1.1125,3.15,0.3545,2,4.51875,0.4376875,0.4781875,1.2875,1.5,0.7786875,0.375,1.1375,1.5125,2.86875,0.5375,0.14375,1.45,1.78125,8.64375,21.845,2007,1,26,HOU
566,Linas Kleiza,20.04285714,3.085714286,7.285714286,0.422714286,0.957142857,2.885714286,0.306,2.142857143,4.414285714,0.477428571,0.483571429,1.528571429,1.971428571,0.762,0.885714286,2.657142857,3.528571429,0.785714286,0.4,0.171428571,1.014285714,2.185714286,8.628571429,20.84,2005,1,27,POR
569,Austin Rivers,24.26363636,3.245454545,7.8,0.410454545,1.009090909,3.027272727,0.328272727,2.218181818,4.754545455,0.467727273,0.472454545,1.163636364,1.827272727,0.616181818,0.336363636,1.709090909,2.045454545,2.309090909,0.654545455,0.2,1.1,2.254545455,8.618181818,18.18545455,2012,1,10,NOH
571,Chris Porter,22.5,3.4,8.7,0.389,0,0.1,0,3.4,8.6,0.393,0.389,1.8,2.8,0.667,1.7,2,3.7,1.2,0.9,0.1,1.2,2.2,8.6,20.34,2000,2,55,GSW
572,Gerald Green,17.14285714,3.178571429,7.342857143,0.451928571,1.171428571,3.221428571,0.328428571,2.007142857,4.114285714,0.496285714,0.521714286,1.1,1.357142857,0.756714286,0.557142857,1.814285714,2.371428571,0.8,0.457142857,0.25,1,1.785714286,8.6,26.25142857,2005,1,18,BOS
