,Player,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,Year,Rd,Pk,Tm
1,LeBron James,38.49375,9.88125,19.5875,0.506375,1.45,4.20625,0.3435,8.4375,15.36875,0.5519375,0.5434375,5.9375,8.1,0.7339375,1.20625,6.24375,7.425,7.2375,1.6125,0.75625,3.48125,1.8375,27.15625,38.455,2003,1,1,CLE
2,Kevin Durant,36.61666667,9.175,18.56666667,0.495166667,1.9,4.95,0.379666667,7.283333333,13.63333333,0.539,0.546,6.616666667,7.516666667,0.879583333,0.708333333,6.358333333,7.075,4.125,1.1,1.116666667,3.091666667,1.883333333,26.88333333,37.04666667,2007,1,2,SEA
4,James Harden,34.08,7.15,16.09,0.4434,2.63,7.22,0.3664,4.52,8.89,0.5072,0.5247,7.28,8.51,0.8526,0.75,4.44,5.19,6.15,1.55,0.49,3.6,2.57,24.22,35.806,2009,1,3,OKC
7,Carmelo Anthony,35.51111111,8.483333333,18.93333333,0.445888889,1.344444444,3.833333333,0.339722222,7.138888889,15.09444444,0.471555556,0.482666667,5.472222222,6.716666667,0.806722222,1.65,4.894444444,6.544444444,2.883333333,0.977777778,0.511111111,2.561111111,2.9,23.76111111,32.59833333,2003,1,3,DEN
8,Damian Lillard,36.25714286,7.8,18.04285714,0.433285714,2.785714286,7.471428571,0.368571429,5.085714286,10.54285714,0.479714286,0.509857143,5.242857143,5.9,0.884857143,0.628571429,3.542857143,4.171428571,6.357142857,0.985714286,0.328571429,2.771428571,2.028571429,23.64285714,33.95428571,2012,1,6,POR
9,Anthony Davis,34.44285714,8.871428571,17.12857143,0.517,0.385714286,1.257142857,0.228428571,8.471428571,15.91428571,0.531857143,0.527142857,5.457142857,6.885714286,0.789857143,2.6,7.914285714,10.51428571,2.142857143,1.385714286,2.385714286,1.857142857,2.385714286,23.57142857,38.90142857,2012,1,1,NOH
10,Joel Embiid,29.8,7.9,16.43333333,0.477666667,1.133333333,3.566666667,0.325,6.7,12.9,0.519,0.513,6.7,8.466666667,0.785333333,2.266666667,8.566666667,10.8,3,0.733333333,2.066666667,3.666666667,3.4,23.53333333,40.93666667,2014,1,3,PHI
12,Stephen Curry,33.88,7.99,16.7,0.478,3.51,8.05,0.4379,4.46,8.65,0.5195,0.581,3.58,3.96,0.897,0.71,3.79,4.47,6.47,1.69,0.24,3.07,2.46,23.06,36.284,2009,1,7,GSW
13,Russell Westbrook,34.38181818,8.1,18.63636364,0.433818182,1.145454545,3.736363636,0.300454545,6.945454545,14.90909091,0.465363636,0.462909091,5.718181818,7.127272727,0.797363636,1.663636364,5.327272727,6.990909091,8.336363636,1.754545455,0.318181818,4.054545455,2.5,23.03636364,37.43,2008,1,4,SEA
14,Karl-Anthony Towns,34.425,8.5,15.875,0.53675,1.225,3.15,0.38225,7.275,12.75,0.572,0.57475,4.025,4.825,0.83425,3.175,8.7,11.875,2.625,0.775,1.5,2.45,3.3,22.275,35.6825,2015,1,1,MIN
15,DeMarcus Cousins,32.26363636,7.781818182,16.93636364,0.460272727,0.9,2.627272727,0.254090909,6.9,14.29090909,0.484727273,0.485090909,5.663636364,7.6,0.741272727,2.581818182,8.372727273,10.95454545,3.536363636,1.427272727,1.263636364,3.554545455,3.872727273,22.15454545,36.43090909,2010,1,5,SAC
16,Donovan Mitchell,33.55,8.05,18.55,0.4345,2.4,6.85,0.351,5.65,11.7,0.485,0.4995,3.55,4.45,0.8055,0.75,3.2,3.9,3.95,1.45,0.35,2.75,2.7,22.15,32.225,2017,1,13,DEN
18,Kyrie Irving,33.575,8.1125,17.4375,0.46475,2.0625,5.3,0.38675,6.05,12.125,0.499375,0.5235,3.7875,4.3375,0.875375,0.7625,2.875,3.65,5.6375,1.3125,0.35,2.65,2.2,22.0625,34.05875,2011,1,1,CLE
19,Devin Booker,33.05,7.55,17.2,0.43625,2,5.65,0.35375,5.525,11.575,0.47675,0.49425,4.75,5.575,0.854,0.525,3.05,3.575,4.375,0.825,0.275,3.225,3.075,21.85,30.14,2015,1,13,PHO
20,Blake Griffin,34.70909091,8.090909091,16.56363636,0.489909091,0.863636364,2.545454545,0.303181818,7.218181818,14.02727273,0.512818182,0.515090909,4.645454545,6.554545455,0.714545455,1.963636364,6.618181818,8.572727273,4.772727273,0.845454545,0.472727273,2.627272727,2.790909091,21.68181818,33.45363636,2009,1,1,LAC
25,Dwyane Wade,32.65555556,7.605555556,15.96111111,0.4735,0.5,1.722222222,0.275777778,7.105555556,14.22777778,0.495777778,0.4895,4.988888889,6.538888889,0.756277778,1.116666667,3.411111111,4.527777778,5.155555556,1.472222222,0.816666667,3.05,2.172222222,20.69444444,32.715,2003,1,5,MIA
31,DeMar DeRozan,34.14,7.09,15.77,0.4524,0.44,1.57,0.2549,6.67,14.21,0.4699,0.4654,5.22,6.29,0.822,0.74,3.5,4.24,3.38,0.99,0.31,2.03,2.22,19.84,28.434,2009,1,9,TOR
32,Kemba Walker,33.9375,6.8,16.3125,0.412875,2.0625,5.8,0.34675,4.725,10.5,0.448,0.4745,3.9125,4.7,0.831625,0.575,3.25,3.8125,5.4375,1.3125,0.3875,2.1375,1.5125,19.575,31.30125,2011,1,9,CHA
33,LaMarcus Aldridge,34.34615385,7.884615385,16.08461538,0.492692308,0.115384615,0.438461538,0.207615385,7.769230769,15.64615385,0.498307692,0.496153846,3.584615385,4.423076923,0.804461538,2.707692308,5.669230769,8.369230769,1.938461538,0.723076923,1.076923077,1.576923077,2.476923077,19.51538462,30.50153846,2006,1,2,CHI
35,Andrew Wiggins,35.92,7.14,16.3,0.4396,1.1,3.24,0.3272,6.08,13,0.4656,0.4722,3.98,5.44,0.7246,1.24,3.02,4.28,2.18,1.02,0.58,2.06,2.12,19.4,26.304,2014,1,1,CLE
36,Chris Bosh,35.72307692,7.015384615,14.24615385,0.491615385,0.392307692,1.153846154,0.299846154,6.607692308,13.08461538,0.505846154,0.505461538,4.976923077,6.230769231,0.795461538,2.084615385,6.353846154,8.438461538,2.046153846,0.815384615,1.015384615,2.030769231,2.376923077,19.39230769,28.65307692,2003,1,4,TOR
37,Klay Thompson,32.8875,7.3,15.8875,0.458125,2.9125,6.925,0.419,4.375,8.95,0.48875,0.548625,1.8875,2.225,0.84525,0.45,3.0125,3.4375,2.3,0.9,0.5375,1.7125,2.125,19.3875,28.53375,2011,1,11,GSW
39,Bradley Beal,34.07142857,7.114285714,15.84285714,0.446,2.128571429,5.557142857,0.387714286,4.985714286,10.3,0.479714286,0.513285714,2.928571429,3.657142857,0.792571429,0.8,3.085714286,3.885714286,3.6,1.128571429,0.371428571,2.1,2.2,19.28571429,28.40285714,2012,1,3,WAS
42,Trae Young,30.9,6.5,15.5,0.418,1.9,6,0.324,4.6,9.6,0.477,0.48,4.2,5.1,0.829,0.8,2.9,3.7,8.1,0.9,0.2,3.8,1.7,19.1,33.04,2018,1,5,DAL
43,John Wall,35.6,6.888888889,15.91111111,0.432222222,0.944444444,2.988888889,0.292888889,5.922222222,12.92222222,0.458222222,0.461222222,4.3,5.566666667,0.773777778,0.577777778,3.677777778,4.244444444,9.1,1.644444444,0.744444444,3.8,2.244444444,19.02222222,30.91222222,2010,1,1,WAS
44,Patrick Ewing,31.67857143,7.35,14.97142857,0.451571429,0.021428571,0.128571429,0.106928571,7.35,14.84285714,0.453357143,0.451928571,4.228571429,5.757142857,0.735714286,2.05,7.264285714,9.314285714,1.657142857,0.771428571,2.135714286,2.607142857,2.971428571,18.98571429,29.46571429,2008,2,43,SAC
45,Giannis Antetokounmpo,32.73333333,6.9,13.23333333,0.5065,0.483333333,1.733333333,0.266333333,6.433333333,11.51666667,0.541,0.527333333,4.666666667,6.283333333,0.7345,1.616666667,6.733333333,8.35,4.15,1.216666667,1.333333333,2.65,2.983333333,18.98333333,31.44833333,2013,1,15,MIL
53,Yao Ming,31.175,6.75,12.9625,0.5185,0,0,0.1875,6.7375,12.95,0.519,0.51875,5.0625,5.9875,0.8465,2.4,6.5,8.9125,1.55,0.3625,1.85,2.6125,3.1875,18.5625,30.2825,2002,1,1,HOU
55,Chris Paul,35.03571429,6.471428571,13.8,0.467285714,1.371428571,3.685714286,0.367642857,5.1,10.10714286,0.504,0.517428571,4.178571429,4.807142857,0.869928571,0.664285714,3.814285714,4.478571429,9.628571429,2.221428571,0.135714286,2.414285714,2.457142857,18.47142857,33.81857143,2005,1,4,NOH
57,Kevin Love,31.92727273,5.990909091,13.90909091,0.432636364,1.672727273,4.672727273,0.335727273,4.318181818,9.218181818,0.467272727,0.491636364,4.727272727,5.727272727,0.825818182,2.890909091,8.563636364,11.45454545,2.263636364,0.681818182,0.445454545,1.945454545,2.172727273,18.33636364,32.42272727,2008,1,5,MEM
58,Paul George,31.51111111,6.211111111,14.46666667,0.427777778,2.244444444,5.866666667,0.374222222,3.988888889,8.577777778,0.460333333,0.503222222,3.655555556,4.366666667,0.820111111,0.9,5.188888889,6.1,2.988888889,1.644444444,0.422222222,2.466666667,2.6,18.27777778,29.49,2010,1,10,IND
61,Monta Ellis,34.72142857,6.935714286,15.5,0.446571429,0.864285714,2.764285714,0.305571429,6.071428571,12.75,0.4755,0.475214286,3.235714286,4.135714286,0.772285714,0.557142857,2.9,3.457142857,4.7,1.635714286,0.328571429,2.714285714,2.342857143,17.95714286,26.11142857,2005,2,40,GSW
62,Rudy Gay,34.20588235,6.776470588,15.11764706,0.45,1.052941176,3.035294118,0.345352941,5.729411765,12.11176471,0.476529412,0.485,3.335294118,4.147058824,0.799176471,1.411764706,4.617647059,6.035294118,2.376470588,1.311764706,0.794117647,2.435294118,2.423529412,17.92941176,26.85176471,2006,1,8,HOU
64,Brook Lopez,30.56363636,6.827272727,13.57272727,0.501363636,0.509090909,1.481818182,0.118090909,6.318181818,12.1,0.530545455,0.523909091,3.6,4.654545455,0.777545455,2.172727273,4.090909091,6.245454545,1.436363636,0.527272727,1.672727273,1.781818182,2.654545455,17.75454545,30.16727273,2008,1,10,NJN
66,Victor Oladipo,33.15,6.483333333,14.73333333,0.439166667,1.6,4.533333333,0.348166667,4.916666667,10.2,0.479333333,0.492333333,3,3.816666667,0.785166667,0.616666667,4.1,4.7,4.033333333,1.7,0.5,2.516666667,2.366666667,17.58333333,28.045,2013,1,2,ORL
68,Gilbert Arenas,31.95384615,5.676923077,14.16153846,0.396307692,1.723076923,5.138461538,0.330615385,3.976923077,9.030769231,0.440615385,0.458692308,4.376923077,5.561538462,0.778153846,0.623076923,2.976923077,3.615384615,5.253846154,1.353846154,0.269230769,2.8,2.838461538,17.48461538,27.06153846,2001,2,31,GSW
69,Kyle Kuzma,32.15,6.6,14.5,0.453,1.95,5.8,0.3345,4.65,8.7,0.532,0.521,2.3,3.15,0.7295,1,4.85,5.9,2.15,0.6,0.4,1.85,2.25,17.4,26.775,2017,1,27,BRK
71,Kawhi Leonard,29.9875,6.2875,12.7375,0.492875,1.325,3.575,0.37325,4.9625,9.1625,0.54075,0.545625,3.4375,4.0625,0.82825,1.2,4.95,6.1375,2.3625,1.8,0.7125,1.4875,1.6125,17.325,32.38,2011,1,15,IND
75,Dwight Howard,33.82666667,6.186666667,10.59333333,0.5864,0,0.046666667,0.1064,6.18,10.54,0.589,0.5868,4.686666667,8.286666667,0.565466667,3.46,8.94,12.39333333,1.4,0.946666667,1.84,2.853333333,3.253333333,17.08666667,28.62533333,2004,1,1,ORL
78,Eric Gordon,33.13636364,5.790909091,13.5,0.428636364,2.181818182,5.936363636,0.364727273,3.627272727,7.536363636,0.477727273,0.510818182,3.272727273,4.045454545,0.811545455,0.409090909,2.090909091,2.5,3.027272727,0.972727273,0.318181818,2.1,2,17.02727273,24.85818182,2008,1,7,LAC
80,Jimmy Butler,32.54,5.63,12.31,0.4508,0.96,2.82,0.3316,4.66,9.53,0.484,0.4879,4.73,5.66,0.8235,1.49,3.39,4.86,3.51,1.66,0.51,1.43,1.49,16.95,29.104,2011,1,30,CHI
81,Lauri Markkanen,31,6.05,14,0.432,2.2,6.15,0.3615,3.85,7.85,0.488,0.512,2.7,3.1,0.8575,1.3,6.95,8.25,1.3,0.65,0.6,1.4,1.9,16.95,28.99,2017,1,7,MIN
82,Isaiah Thomas,27.20833333,5.366666667,12.93333333,0.412416667,1.825,5.358333333,0.340416667,3.566666667,7.583333333,0.463666667,0.482583333,4.208333333,4.841666667,0.85475,0.533333333,1.758333333,2.283333333,4.666666667,0.775,0.091666667,2.408333333,2.016666667,16.75,30.09416667,2011,2,60,SAC
83,Amar'e Stoudemire,28.1875,6.23125,11.80625,0.529125,0.025,0.1375,0.126125,6.21875,11.6625,0.5330625,0.53,4.23125,5.5375,0.761,2.24375,4.88125,7.125,1.0875,0.675,1.09375,2,2.9375,16.74375,29.546875,2002,1,9,PHO
84,Collin Sexton,31.8,6.3,14.7,0.43,1.5,3.6,0.402,4.9,11.1,0.44,0.48,2.6,3.1,0.839,0.7,2.2,2.9,3,0.5,0.1,2.3,2.3,16.7,23.99,2018,1,8,CLE
86,Zach LaVine,30.34,6,13.68,0.4366,1.7,4.58,0.3664,4.32,9.1,0.471,0.4974,3,3.66,0.8232,0.42,3.08,3.52,3.44,0.88,0.22,2.28,2.24,16.68,26.446,2014,1,13,MIN
87,Zach Randolph,30.76315789,6.631578947,14.15789474,0.469368421,0.226315789,0.815789474,0.214947368,6.415789474,13.35789474,0.48,0.477105263,3.163157895,4.142105263,0.754,2.905263158,6.2,9.110526316,1.810526316,0.763157895,0.257894737,2.015789474,2.331578947,16.67894737,28.79631579,2001,1,19,POR
93,Kevin Martin,29.23125,5.0875,11.96875,0.420125,1.4875,3.96875,0.3601875,3.625,8.0125,0.44725,0.4804375,4.80625,5.49375,0.8655,0.5375,2.5125,3.05,1.875,0.84375,0.10625,1.63125,1.8375,16.48125,25.768125,2004,1,26,SAC
94,Jason Richardson,33.2,6.223529412,14.18235294,0.436,1.923529412,5.117647059,0.372764706,4.288235294,9.070588235,0.472058824,0.505588235,2.047058824,2.864705882,0.711352941,1.111764706,3.570588235,4.664705882,2.435294118,1.129411765,0.376470588,1.558823529,2.194117647,16.41176471,25.58294118,2001,1,5,GSW
95,CJ McCollum,28,6.266666667,13.81666667,0.447,1.866666667,4.666666667,0.396833333,4.416666667,9.133333333,0.474833333,0.5175,2,2.4,0.796333333,0.566666667,2.383333333,2.933333333,2.666666667,0.833333333,0.3,1.633333333,2.016666667,16.38333333,26.99166667,2013,1,10,POR
96,Ben Simmons,33.95,6.75,12.25,0.554,0,0.1,0,6.75,12.15,0.5585,0.554,2.85,4.8,0.58,2,6.45,8.45,7.95,1.55,0.85,3.45,2.6,16.35,30.665,2016,1,1,PHI
97,D'Angelo Russell,28.2,6.1,14.625,0.41575,2.125,6.075,0.349,3.95,8.525,0.46325,0.4885,2.025,2.65,0.75975,0.6,3.075,3.675,5.075,1.15,0.275,2.875,1.875,16.35,30.0425,2015,1,2,LAL
98,Brandon Roy,33.3,5.933333333,13.36666667,0.4295,0.833333333,2.65,0.292833333,5.116666667,10.73333333,0.468166667,0.457833333,3.633333333,4.566666667,0.7905,0.95,2.983333333,3.933333333,4.483333333,0.95,0.2,1.716666667,1.783333333,16.33333333,25.89,2006,1,6,MIN
99,Deandre Ayton,30.7,7.2,12.3,0.585,0,0.1,0,7.2,12.2,0.588,0.585,2,2.7,0.746,3.1,7.1,10.3,1.8,0.9,0.9,1.8,2.9,16.3,30.35,2018,1,1,PHO
100,Carlos Boozer,31.34615385,6.8,13.05384615,0.520230769,0,0.007692308,0.012846154,6.8,13.03846154,0.520769231,0.520307692,2.661538462,3.723076923,0.718615385,2.384615385,7.092307692,9.476923077,2.276923077,0.892307692,0.392307692,2.123076923,3.069230769,16.26923077,27.70076923,2002,2,35,CLE
101,Derrick Rose,28.975,6.258333333,14.20833333,0.44025,0.775,2.533333333,0.273583333,5.508333333,11.675,0.469083333,0.465083333,2.925,3.508333333,0.844,0.75,2.183333333,2.95,4.566666667,0.625,0.283333333,2.416666667,1.15,16.2,27.61083333,2008,1,1,CHI
104,Michael Redd,28.1,5.675,13.00833333,0.421666667,1.391666667,3.858333333,0.32875,4.283333333,9.166666667,0.459083333,0.473083333,3.366666667,4.091666667,0.80525,0.816666667,2.383333333,3.208333333,1.908333333,0.816666667,0.108333333,1.3,1.35,16.15833333,26.865,2000,2,43,MIL
113,Deron Williams,33.4,5.5375,12.6875,0.4374375,1.4,4.0125,0.354875,4.14375,8.675,0.4751875,0.494125,3.3375,4.025,0.81925,0.40625,2.7125,3.1375,8.08125,0.99375,0.24375,2.85,2.51875,15.825,26.413125,2005,1,3,UTA
115,Pau Gasol,30.94545455,5.913636364,11.66818182,0.489590909,0.159090909,0.413636364,0.292681818,5.772727273,11.25909091,0.485181818,0.501590909,3.522727273,4.659090909,0.743727273,2.240909091,6.281818182,8.518181818,2.995454545,0.459090909,1.431818182,1.931818182,1.977272727,15.51363636,28.30863636,2001,1,3,ATL
117,Jrue Holiday,33,6.13,13.58,0.4503,1.23,3.44,0.3625,4.91,10.14,0.4826,0.496,1.98,2.51,0.7884,0.82,3,3.81,6.46,1.5,0.49,2.72,2.34,15.47,26.755,2009,1,17,PHI
118,Tobias Harris,30.20625,5.80625,12.38125,0.4683125,1.3,3.5375,0.34975,4.5,8.85625,0.508375,0.5166875,2.44375,2.9875,0.824625,1.03125,4.99375,6.04375,1.99375,0.725,0.51875,1.38125,2.05,15.38125,26.226875,2011,1,19,CHA
119,Tony Parker,30.12777778,6.127777778,12.49444444,0.486166667,0.4,1.25,0.322555556,5.738888889,11.26666667,0.504555556,0.503222222,2.683333333,3.561111111,0.747611111,0.338888889,2.316666667,2.661111111,5.588888889,0.816666667,0.077777778,2.255555556,1.605555556,15.37222222,26.50055556,2001,1,28,SAS
123,Danilo Gallinari,30.6,4.541666667,10.76666667,0.421916667,1.75,4.758333333,0.371666667,2.775,6.016666667,0.461833333,0.50625,4.45,5.141666667,0.875083333,0.75,4,4.75,1.916666667,0.775,0.408333333,1.325,1.875,15.28333333,25.675,2008,1,6,NYK
125,Tim Hardaway,30.748,5.444,13.008,0.41396,1.84,5.272,0.349,3.604,7.74,0.45692,0.4894,2.484,3.136,0.78248,0.464,2.448,2.908,5.696,1.236,0.14,2.228,2.056,15.22,26.5704,2013,1,24,NYK
126,Al Jefferson,27.89285714,6.55,13.09285714,0.501857143,0,0.078571429,0.069142857,6.528571429,13.03571429,0.504357143,0.502142857,2.128571429,3,0.7135,2.15,5.985714286,8.157142857,1.428571429,0.664285714,1.171428571,1.264285714,2.528571429,15.20714286,29.76285714,2004,1,15,BOS
127,Glen Rice,30.71764706,5.582352941,12.59411765,0.415411765,1.347058824,3.511764706,0.351117647,4.247058824,9.088235294,0.442,0.468529412,2.676470588,3.164705882,0.824588235,0.8,2.982352941,3.794117647,1.847058824,0.805882353,0.223529412,1.517647059,2.164705882,15.18823529,22.34882353,2013,2,35,PHI
131,Mike Conley,32.36666667,5.291666667,12.15833333,0.43575,1.416666667,3.866666667,0.36875,3.883333333,8.308333333,0.466083333,0.49225,3.016666667,3.675,0.810916667,0.408333333,2.508333333,2.891666667,5.6,1.425,0.216666667,1.966666667,1.941666667,15.025,26.30416667,2007,1,4,MEM
132,John Collins,27.05,5.9,10.5,0.568,0.55,1.6,0.344,5.35,8.85,0.6035,0.592,2.55,3.45,0.739,3,5.55,8.55,1.65,0.5,0.85,1.7,3.1,15,29.87,2017,1,19,ATL
133,Jamal Murray,28.6,5.433333333,12.53333333,0.430666667,1.8,5.033333333,0.359666667,3.633333333,7.5,0.481333333,0.504666667,2.2,2.533333333,0.878666667,0.8,2.733333333,3.5,3.433333333,0.833333333,0.333333333,1.866666667,1.866666667,14.93333333,26.57,2016,1,7,DEN
137,Marvin Bagley,25.3,5.7,11.4,0.504,0.5,1.5,0.313,5.3,9.8,0.534,0.525,2.9,4.2,0.691,2.6,5,7.6,1,0.5,1,1.6,1.9,14.9,31.69,2018,1,2,SAC
138,Jamal Crawford,29.78571429,5.161904762,12.54285714,0.411047619,1.742857143,4.89047619,0.355380952,3.433333333,7.666666667,0.446047619,0.479952381,2.828571429,3.30952381,0.851428571,0.352380952,1.885714286,2.20952381,3.480952381,0.885714286,0.2,1.895238095,1.466666667,14.9,24.84904762,2000,1,8,CLE
141,Jayson Tatum,30.8,5.45,11.75,0.4625,1.4,3.45,0.4035,4.05,8.3,0.4875,0.522,2.6,3.05,0.8405,0.75,4.8,5.5,1.85,1.05,0.7,1.45,2.1,14.8,25.62,2017,1,3,BOS
142,Tyreke Evans,28.65833333,5.483333333,12.65833333,0.431166667,0.958333333,2.791666667,0.320666667,4.525,9.85,0.455333333,0.471166667,2.808333333,3.7,0.755833333,0.733333333,3.658333333,4.383333333,4.516666667,1.175,0.358333333,2.325,2.066666667,14.74166667,27.98833333,2009,1,4,SAC
144,Eric Bledsoe,28.1,5.181818182,11.50909091,0.445636364,1.154545455,3.427272727,0.326727273,4.027272727,8.090909091,0.496272727,0.492272727,3.2,4.009090909,0.774363636,0.8,2.918181818,3.7,4.636363636,1.518181818,0.518181818,2.745454545,2.1,14.70909091,27.48363636,2010,1,18,OKC
145,Khris Middleton,30.28571429,5.342857143,11.85714286,0.449714286,1.557142857,4,0.385428571,3.8,7.885714286,0.482142857,0.514,2.442857143,2.828571429,0.864714286,0.5,3.671428571,4.185714286,3.042857143,1.242857143,0.171428571,1.771428571,2.585714286,14.7,24.50428571,2012,2,39,DET
146,Jabari Parker,28.57142857,5.914285714,12,0.492142857,0.785714286,2.328571429,0.312714286,5.128571429,9.685714286,0.534142857,0.523857143,2.1,2.9,0.725142857,1.471428571,4.471428571,5.971428571,2.2,0.871428571,0.4,2,2.042857143,14.7,26.60714286,2014,1,2,MIL
148,Marc Gasol,32.88461538,5.438461538,11.4,0.483153846,0.5,1.438461538,0.268153846,4.961538462,9.961538462,0.496769231,0.504538462,3.269230769,4.215384615,0.776461538,1.561538462,6.115384615,7.684615385,3.592307692,0.946153846,1.392307692,2.046153846,2.869230769,14.66153846,26.13538462,2007,2,48,LAL
151,Brandon Ingram,32.03333333,5.533333333,11.86666667,0.456333333,0.666666667,2,0.338,4.866666667,9.866666667,0.482333333,0.485666667,2.933333333,4.366666667,0.659,0.866666667,3.966666667,4.8,3,0.633333333,0.6,2.166666667,2.566666667,14.6,22.60333333,2016,1,2,LAL
155,De'Aaron Fox,29.6,5.35,12.25,0.435,0.85,2.5,0.339,4.5,9.75,0.459,0.469,2.8,3.9,0.725,0.5,2.75,3.3,5.85,1.3,0.45,2.6,2.35,14.45,26.625,2017,1,5,SAC
159,Jordan Clarkson,26.2,5.485714286,12.34285714,0.447,1.357142857,3.971428571,0.342428571,4.157142857,8.371428571,0.495428571,0.501857143,1.928571429,2.371428571,0.811428571,0.814285714,2.228571429,3.042857143,2.657142857,0.842857143,0.128571429,1.642857143,1.6,14.27142857,27.53428571,2014,2,46,WAS
160,Andrea Bargnani,28.39,5.33,12.16,0.4363,1.04,3.01,0.3281,4.28,9.13,0.466,0.4789,2.58,3.11,0.8268,0.95,3.57,4.53,1.23,0.37,0.81,1.53,2.27,14.27,23.899,2006,1,1,TOR
161,Paul Millsap,29.56153846,5.353846154,10.94615385,0.493384615,0.484615385,1.469230769,0.265230769,4.861538462,9.492307692,0.513769231,0.513384615,3.076923077,4.184615385,0.728384615,2.230769231,5.176923077,7.407692308,2.353846154,1.292307692,1.023076923,1.815384615,3.076923077,14.26923077,27.60307692,2006,2,47,UTA
163,Joe Johnson,32.57391304,5.491304348,12.43913043,0.436652174,1.391304348,3.795652174,0.35326087,4.108695652,8.634782609,0.474913043,0.492391304,1.847826087,2.295652174,0.810391304,0.773913043,3.013043478,3.765217391,3.556521739,0.795652174,0.182608696,1.747826087,1.691304348,14.20869565,22.22434783,2001,1,10,BOS
164,Al Horford,32.7,6.016666667,11.35,0.527916667,0.416666667,1.175,0.3465,5.583333333,10.16666667,0.546416667,0.546666667,1.758333333,2.366666667,0.755416667,2.166666667,6.1,8.266666667,3.166666667,0.825,1.233333333,1.625,2.233333333,14.2,26.51666667,2007,1,3,ATL
169,Harrison Barnes,31.3,5.155555556,11.66666667,0.442,1.433333333,3.744444444,0.377111111,3.688888889,7.9,0.469333333,0.503666667,2.388888889,2.955555556,0.789111111,0.944444444,3.955555556,4.888888889,1.566666667,0.666666667,0.2,1.188888889,1.677777778,14.11111111,22.77888889,2012,1,7,GSW
170,Dennis Smith,28.8,5.45,13.075,0.419,1.3,4.175,0.317,4.125,8.875,0.46625,0.46975,1.9,2.95,0.648,0.65,2.475,3.125,4.925,1.225,0.35,2.85,2.35,14.1,25.475,2017,1,9,DAL
175,Andre Drummond,30.47142857,5.9,10.82857143,0.551142857,0.014285714,0.114285714,0.178714286,5.871428571,10.72857143,0.555285714,0.552142857,2.128571429,4.728571429,0.444857143,4.742857143,8.742857143,13.5,1.128571429,1.328571429,1.557142857,1.785714286,3.114285714,13.9,30.51142857,2012,1,9,DET
176,Ben Gordon,26.10909091,4.918181818,11.49090909,0.423909091,1.445454545,3.654545455,0.386272727,3.481818182,7.809090909,0.441454545,0.485636364,2.563636364,3.018181818,0.849636364,0.409090909,1.954545455,2.345454545,2.372727273,0.672727273,0.145454545,1.981818182,2.181818182,13.89090909,23.51727273,2004,1,3,CHI
178,Lou Williams,23.9375,4.43125,10.53125,0.4213125,1.35625,3.88125,0.338875,3.08125,6.6625,0.4634375,0.4815625,3.6875,4.35,0.821125,0.3625,1.825,2.1875,3.15,0.86875,0.1875,1.65,1.26875,13.875,28.811875,2005,2,45,PHI
180,Danny Granger,27.36666667,4.725,11.25,0.411333333,1.458333333,4.008333333,0.351416667,3.25,7.233333333,0.443,0.475083333,2.966666667,3.5,0.835,1,3.208333333,4.183333333,1.55,0.75,0.641666667,1.566666667,2.375,13.85833333,23.93916667,2005,1,17,IND
181,Luol Deng,32.39411765,5.294117647,11.70588235,0.453882353,0.7,2.147058824,0.298705882,4.582352941,9.558823529,0.485176471,0.484764706,2.576470588,3.323529412,0.722,1.488235294,4.082352941,5.570588235,2.217647059,0.970588235,0.417647059,1.576470588,1.552941176,13.82352941,22.72529412,2004,1,7,PHO
182,T.J. Warren,26.76,5.72,11.54,0.5016,0.64,1.82,0.3106,5.08,9.7,0.528,0.528,1.7,2.2,0.757,1.34,2.54,3.88,1.08,0.94,0.48,0.96,2.22,13.82,25.598,2014,1,14,PHO
186,Buddy Hield,25.94,5.14,11.56,0.4406,2.28,5.46,0.4092,2.88,6.04,0.4694,0.5378,1.14,1.32,0.8596,0.66,3.18,3.82,1.82,0.68,0.2,1.5,1.72,13.7,25.532,2016,1,6,NOP
189,Caron Butler,31.05555556,5.044444444,11.7,0.426111111,0.911111111,2.566666667,0.3295,4.133333333,9.122222222,0.447444444,0.470777778,2.6,3.083333333,0.838,1.111111111,3.711111111,4.827777778,2.1,1.272222222,0.25,1.677777778,2.35,13.58333333,22.48277778,2002,1,10,MIA
192,Gordon Hayward,27.66666667,4.633333333,10.33333333,0.456,1.144444444,3.233333333,0.331333333,3.477777778,7.088888889,0.543111111,0.506444444,3.144444444,3.822222222,0.722222222,0.655555556,3.177777778,3.822222222,3.011111111,0.877777778,0.355555556,1.755555556,1.644444444,13.54444444,24.3,2010,1,9,UTA
199,Thaddeus Young,30.81428571,5.778571429,11.63571429,0.500285714,0.45,1.392857143,0.303285714,5.314285714,10.25714286,0.521428571,0.519428571,1.442857143,2.157142857,0.662857143,2.007142857,3.914285714,5.907142857,1.692857143,1.464285714,0.392857143,1.457142857,2.2,13.44285714,24.41785714,2007,1,12,PHI
