Count of Award,Column Labels,,,,,,,,,,,,
Row Labels,AP Player of the Year,NABC Defensive Player of the Year,NABC Player of the Year,Naismith Award,NCAA Tournament Most Outstanding Player,NIT Most Valuable Player,Rupp Trophy,Sporting News Player of the Year,UPI Player of the Year,USBWA Freshman of the Year,USBWA Player of the Year,Wooden Award,Grand Total
Nick Collison(Kansas),,,1,,,,,,,,,,1
Pierre Jackson(Baylor),,,,,,1,,,,,,,1
Quentin Richardson(DePaul),,,,,,,,,,1,,,1
Ray Allen(Connecticut),,,,,,,,,1,,,,1
Renaldo Balkman(South Carolina),,,,,,1,,,,,,,1
Richard Hamilton(Connecticut),,,,,1,,,,,,,,1
Robert O'Kelley(Wake Forest),,,,,,1,,,,,,,1
Robert Traylor(Michigan),,,,,,1,,,,,,,1
Rodney Rogers(Wake Forest),,,,,,,,,,1,,,1
Ryan Arcidiacono(Villanova),,,,,1,,,,,,,,1
Sean Lampley(University of California),,,,,,1,,,,,,,1
Sean May(North Carolina),,,,,1,,,,,,,,1
Shabazz Napier(Connecticut),,,,,1,,,,,,,,1
Shane Battier(Duke),1,3,,1,1,,1,1,,,1,1,10
Shaquille O'Neal(Louisiana State),1,,,,,,1,,1,,,,3
Shawn Respert(Michigan State),,,1,,,,,1,,,,,2
Shawn Smith(Virginia Tech),,,,,,1,,,,,,,1
Shelden Williams(Duke),,2,,,,,,,,,,,2
Stacey Augmon(Nevada-Las Vegas),,1,,,,,,,,,,,1
Steve Wojciechowski(Duke),,1,,,,,,,,,,,1
T.J. Ford(Texas),,,,1,,,,1,,1,,1,4
Tim Duncan(Wake Forest),1,3,1,1,,,1,1,,,1,1,10
Tony Delk(Kentucky),,,,,1,,,,,,,,1
Trae Young(Oklahoma),,,,,,,,,,1,,,1
Trey Burke(Michigan),1,,1,1,,,,,,,1,1,5
Tyler Cavanaugh(George Washington,,,,,,1,,,,,,,1
Tyler Hansbrough(North Carolina),1,,1,1,,,1,1,,1,1,1,8
Tyreke Evans(Memphis),,,,,,,,,,1,,,1
Tyus Jones(Duke),,,,,1,,,,,,,,1
Victor Oladipo(Indiana),,1,,,,,1,1,,,,,3
Voshon Lenard(Minnesota),,,,,,1,,,,,,,1
Wayne Ellington(North Carolina),,,,,1,,,,,,,,1
Willie Cauley-Stein(Kentucky),,1,,,,,,,,,,,1
Zion Williamson(Duke),1,,1,1,,,,1,,1,1,1,7
Grand Total,29,31,31,29,29,30,25,29,6,26,30,30,325
