,Player,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
1266,Mitch Creek,10.2,1.966666667,3.9,0.5,0,0.566666667,0,1.966666667,3.366666667,0.575666667,0.5,0.766666667,1.066666667,0.476,1.166666667,1.166666667,2.3,1.166666667,0.566666667,0,0.4,0.466666667,4.666666667,30.25666667
1267,Kelvin Cato,16.675,1.766666667,3.641666667,0.473,0,0.016666667,0.083333333,1.766666667,3.633333333,0.474416667,0.47325,1.108333333,1.691666667,0.601583333,1.3,3.041666667,4.341666667,0.366666667,0.433333333,1.041666667,0.741666667,2.175,4.666666667,17.5825
1268,Monty Williams,12.87272727,1.818181818,4.054545455,0.405818182,0,0.072727273,0.088818182,1.818181818,4,0.412818182,0.406272727,1.027272727,1.590909091,0.647636364,0.845454545,1.318181818,2.172727273,0.872727273,0.418181818,0.209090909,0.936363636,1.509090909,4.663636364,17.51272727
1269,Žan Tabak,13.9375,2.0125,4.15,0.481375,0,0,0,2.0125,4.15,0.48325,0.481375,0.6375,1.175,0.5205,1.2875,2.0125,3.325,0.6625,0.3125,0.5625,1.0375,2.275,4.6625,17.905
1270,Jeff Adrien,13.74285714,1.757142857,3.614285714,0.472857143,0,0,0,1.757142857,3.614285714,0.473571429,0.472857143,1.171428571,1.857142857,0.602857143,1.428571429,2.942857143,4.385714286,0.6,0.3,0.514285714,0.557142857,1.728571429,4.657142857,20.77142857
1271,Pat Durham,15,1.6,4.5,0.367,0.05,0.2,0.096,1.55,4.3,0.3855,0.372,1.45,2,0.703,0.8,1.4,2.2,0.85,0.4,0.35,1.1,1.55,4.65,15.805
1272,Luke Babbitt,13.62,1.66,4.17,0.3877,0.99,2.64,0.3746,0.65,1.54,0.3825,0.5065,0.32,0.44,0.6473,0.29,1.86,2.15,0.6,0.22,0.16,0.44,1.25,4.65,17.066
1273,Samaki Walker,15.12,1.83,4.03,0.3993,0,0.01,0.0333,1.83,4.01,0.4011,0.3995,0.98,1.56,0.6694,1.23,2.75,3.99,0.46,0.27,0.61,0.83,1.92,4.65,15.363
1274,James Jones,13.89285714,1.492857143,3.742857143,0.387642857,1,2.478571429,0.392071429,0.507142857,1.264285714,0.382357143,0.5235,0.657142857,0.785714286,0.802071429,0.257142857,1.278571429,1.55,0.464285714,0.285714286,0.271428571,0.292857143,1.135714286,4.642857143,17.27571429
1275,Walter Bond,13.48,1.7,4.1,0.404,0.42,1.26,0.3026,1.28,2.86,0.4578,0.4632,0.82,1.12,0.737,0.4,1.1,1.52,1.1,0.42,0.16,0.78,2.14,4.64,16.086
