,Lat,Long,School
151,42.0266187,-93.6464654,Iowa State
152,33.9480053,-83.3773221,Georgia
153,39.1329219,-84.51495039999999,Cincinnati
154,39.9951217,-75.23993279999999,Saint Joseph's
155,39.149448,-84.47363740000002,Xavier
156,34.3647324,-89.538443,Mississippi
157,42.2780436,-83.7382241,Michigan
158,47.66644729999999,-117.4015208,Gonzaga
159,39.5441917,-119.816397,Nevada
160,33.8829226,-117.8869261,Cal State Fullerton
161,37.4274745,-122.169719,Stanford
162,31.6219236,-94.6462581,Stephen F. Austin
163,39.149448,-84.47363740000002,Xavier
164,36.0014258,-78.9382286,Duke
165,47.4906921,-111.2707539,Providence
166,29.6436325,-82.3549302,Florida
167,36.1270236,-97.07372219999999,Oklahoma State
168,34.068921,-118.4451811,UCLA
169,40.00758099999999,-105.2659417,Colorado
170,32.2318851,-110.9501094,Arizona
171,30.2849185,-97.7340567,Texas
172,44.97399,-93.2277285,Minnesota
173,41.1173345,-85.1077816,Purdue-Fort Wayne
174,44.0448302,-123.0726055,Oregon
175,36.1447034,-86.8026551,Vanderbilt
176,36.0014258,-78.9382286,Duke
177,33.5842591,-101.8782822,Texas Tech
178,41.8077414,-72.2539805,Connecticut
179,35.7846633,-78.6820946,North Carolina State
180,40.1019523,-88.2271615,Illinois
181,32.2318851,-110.9501094,Arizona
182,30.2114404,-92.0204121,Louisiana
183,35.0843187,-106.6197812,New Mexico
184,36.1270236,-97.07372219999999,Oklahoma State
185,38.9403808,-92.32773750000001,Missouri
186,29.6436325,-82.3549302,Florida
187,33.7756178,-84.39628499999999,Georgia Tech
188,40.7649368,-111.8421021,Utah
189,36.0014258,-78.9382286,Duke
190,35.9049122,-79.0469134,North Carolina
191,33.4242399,-111.9280527,Arizona State
192,43.038473,-87.93044549999999,Marquette
193,34.068921,-118.4451811,UCLA
194,40.4443533,-79.960835,Pittsburgh
195,41.8077414,-72.2539805,Connecticut
196,30.4418778,-84.2984889,Florida State
197,47.66644729999999,-117.4015208,Gonzaga
198,38.9543439,-95.2557961,Kansas
199,32.2318851,-110.9501094,Arizona
200,30.4132579,-91.1800023,Louisiana State
201,34.0414045,-118.7095814,Pepperdine
202,43.0391534,-76.1351158,Syracuse
203,30.618531,-96.33649899999999,Texas A&M
204,39.1754487,-86.512627,Indiana
205,40.1019523,-88.2271615,Illinois
206,35.9049122,-79.0469134,North Carolina
207,35.9049122,-79.0469134,North Carolina
208,39.1329219,-84.51495039999999,Cincinnati
209,33.4551742,-88.79437659999999,Mississippi State
210,38.6487895,-90.31079620000001,Washington
211,36.1340985,-80.2778951,Wake Forest
212,34.068921,-118.4451811,UCLA
213,30.2849185,-97.7340567,Texas
214,41.8077414,-72.2539805,Connecticut
215,40.037056,-75.34358,Villanova
216,28.0587031,-82.41385389999999,South Florida
217,30.4418778,-84.2984889,Florida State
218,35.118741,-89.937141,Memphis
219,39.9811935,-75.1553512,Temple
220,42.0266187,-93.6464654,Iowa State
221,41.8077414,-72.2539805,Connecticut
222,42.701848,-84.4821719,Michigan State
223,41.8077414,-72.2539805,Connecticut
224,36.0686895,-94.1748471,Arkansas
225,34.068921,-118.4451811,UCLA
226,40.037056,-75.34358,Villanova
227,40.5008186,-74.44739910000001,Rutgers
228,30.2849185,-97.7340567,Texas
229,30.4132579,-91.1800023,Louisiana State
230,42.3355488,-71.16849450000001,Boston College
231,33.9937575,-81.0299186,South Carolina
232,40.1019523,-88.2271615,Illinois
233,42.701848,-84.4821719,Michigan State
234,30.2849185,-97.7340567,Texas
235,32.2318851,-110.9501094,Arizona
236,41.8077414,-72.2539805,Connecticut
237,36.0014258,-78.9382286,Duke
238,35.118741,-89.937141,Memphis
239,47.66644729999999,-117.4015208,Gonzaga
240,40.6977743,-89.6153484,Bradley
241,43.038473,-87.93044549999999,Marquette
242,32.5263753,-92.6481104,Louisiana Tech
243,38.0306511,-84.5039697,Kentucky
244,38.6487895,-90.31079620000001,Washington
245,35.7846633,-78.6820946,North Carolina State
246,38.8997145,-77.0485992,George Washington
247,36.0014258,-78.9382286,Duke
248,37.3641651,-120.4254615,University of California
249,29.7173941,-95.40183119999999,Rice
250,34.068921,-118.4451811,UCLA
251,43.0391534,-76.1351158,Syracuse
252,29.6436325,-82.3549302,Florida
253,40.0068363,-83.0306222,Ohio State
254,38.0335529,-78.5079772,Virginia
255,29.6436325,-82.3549302,Florida
256,34.0223519,-118.285117,Southern California
257,36.0014258,-78.9382286,Duke
258,36.8124451,-119.7457805,Fresno State
259,41.9247559,-87.6566465,DePaul
260,30.4418778,-84.2984889,Florida State
261,43.076592,-89.4124875,Wisconsin
262,33.7756178,-84.39628499999999,Georgia Tech
263,34.0223519,-118.285117,Southern California
264,35.9049122,-79.0469134,North Carolina
265,38.9543439,-95.2557961,Kansas
