,Lat,Long,School
144,44.97399,-93.2277285,Minnesota University
145,39.9951217,-75.23993279999999,Saint Joseph's University
146,38.1886162,-83.4315122,Morehead State University
147,30.4418778,-84.2984889,Florida State University
148,40.8075355,-73.9625727,Columbia University
149,38.9403808,-92.32773750000001,Missouri University
150,35.3092494,-83.1829254,Western Carolina University
151,42.0266187,-93.6464654,Iowa State University
152,33.9480053,-83.3773221,Georgia University
153,39.1329219,-84.51495039999999,Cincinnati University
154,39.9951217,-75.23993279999999,Saint Joseph's University
155,39.149448,-84.47363740000002,Xavier University
156,34.3647324,-89.538443,Mississippi University
157,42.2780436,-83.7382241,Michigan University
158,47.66644729999999,-117.4015208,Gonzaga University
159,39.5441917,-119.816397,Nevada University
160,33.8829226,-117.8869261,Cal State Fullerton University
161,37.4274745,-122.169719,Stanford University
162,31.6219236,-94.6462581,Stephen F. Austin University
163,39.149448,-84.47363740000002,Xavier University
164,36.0014258,-78.9382286,Duke University
165,47.4906921,-111.2707539,Providence University
166,29.6436325,-82.3549302,Florida University
167,36.1270236,-97.07372219999999,Oklahoma State University
168,34.068921,-118.4451811,UCLA University
169,40.00758099999999,-105.2659417,Colorado University
170,32.2318851,-110.9501094,Arizona University
171,30.2849185,-97.7340567,Texas University
172,44.97399,-93.2277285,Minnesota University
173,41.1173345,-85.1077816,Purdue-Fort Wayne University
174,44.0448302,-123.0726055,Oregon University
175,36.1447034,-86.8026551,Vanderbilt University
176,36.0014258,-78.9382286,Duke University
177,33.5842591,-101.8782822,Texas Tech University
178,41.8077414,-72.2539805,Connecticut University
179,35.7846633,-78.6820946,North Carolina State University
180,40.1019523,-88.2271615,Illinois University
181,32.2318851,-110.9501094,Arizona University
182,30.2114404,-92.0204121,Louisiana University
183,35.0843187,-106.6197812,New Mexico University
184,36.1270236,-97.07372219999999,Oklahoma State University
185,38.9403808,-92.32773750000001,Missouri University
186,29.6436325,-82.3549302,Florida University
187,33.7756178,-84.39628499999999,Georgia Tech University
188,40.7649368,-111.8421021,Utah University
189,36.0014258,-78.9382286,Duke University
190,35.9049122,-79.0469134,North Carolina University
