,School
410,Virginia Commonwealth
411,Georgetown
412,Kentucky
413,North Carolina
414,Georgia Tech
415,Washington
416,Texas
417,Kentucky
418,Florida State
419,Syracuse
420,Ohio State
421,Rutgers
422,Saint Joseph's
423,Western Illinois
424,Kansas
425,Kansas
426,Michigan
427,Florida
428,Purdue
429,Kentucky
430,Florida
431,Butler
432,San Diego State
433,Georgia
434,Wisconsin
435,UCLA
436,Connecticut
437,Georgia
438,North Texas
439,Washington State
440,Sam Houston State
441,Sam Houston State
442,Georgia Tech
443,Kansas
444,Florida State
445,Duke
446,Duke
447,Kentucky
448,Cleveland State
449,Marquette
450,Ohio State
451,Temple
452,Brigham Young
453,Colorado
454,Oakland
455,Boston College
456,Duke
457,UCLA
458,Texas
459,Hofstra
460,Brigham Young
461,Morehead State
462,Tennessee
463,Richmond
464,Kentucky
465,College of Charleston
466,Norfolk State
467,St. Bonaventure
468,Mississippi State
469,Tennessee Tech
470,Georgia Tech
471,Duke
472,Weber State
473,North Carolina
474,Connecticut
475,Kentucky
476,Illinois
477,Syracuse
478,Texas A&M
479,Kentucky
480,Baylor
481,Jacksonville State
482,Kentucky
483,North Carolina
484,Washington
485,Iowa State
486,Kansas
487,Kansas
488,Duke
489,Gonzaga
490,Washington
491,Ohio State
492,Vanderbilt
493,Texas A&M-Corpus Christi
494,Connecticut
495,Marquette
496,Oregon State
497,Missouri
498,Kentucky
499,Memphis
500,Florida
501,North Carolina
502,Baylor
503,Bowling Green State
504,Louisiana
505,Purdue
506,North Carolina
507,Syracuse
508,Baylor
509,Kentucky
510,Kentucky
511,Vanderbilt
512,Florida State
513,Marquette
514,UC-Santa Barbara
515,Missouri
516,Vanderbilt
517,St. John's (NY)
518,Louisiana State
519,Lehigh
520,Michigan State
521,Kentucky
522,Indiana
523,Bucknell
524,UCLA
525,Florida
526,Gonzaga
527,Georgetown
528,Southeast Missouri State
529,Texas-San Antonio
530,Duke
531,Missouri
532,Oklahoma
533,North Texas
534,Maryland
535,Duke
536,Miami (FL)
537,Kansas
538,Detroit Mercy
539,Ohio State
540,Kansas
541,South Dakota State
542,Indiana
543,Colorado
544,Louisville
545,New Mexico
546,Syracuse
547,North Carolina
548,Michigan
549,Murray State
550,Georgia
551,Louisville
552,University of California
553,Pittsburgh
554,North Carolina State
555,Nevada-Las Vegas
556,Arizona
557,Michigan
558,Oregon
559,Baylor
560,Colorado State
561,Arizona
562,Arizona State
563,San Diego State
564,Northern Arizona
565,Long Beach State
566,Virginia Tech
567,North Carolina
568,Kentucky
569,Louisiana State
570,Connecticut
571,Stanford
572,Kentucky
573,Pittsburgh
574,Louisiana
575,Michigan State
576,Duke
577,UCLA
578,Creighton
579,Michigan
580,Clemson
581,Indiana
582,North Carolina State
583,Kentucky
584,Kansas
585,Washington
586,Richmond
587,San Diego State
588,Michigan
589,Tennessee
590,Michigan
591,Oklahoma State
592,Louisville
593,Xavier
594,Missouri
595,Colorado
596,Connecticut
597,New Mexico
598,UCLA
599,Oklahoma State
600,Green Bay
601,Duke
602,Stanford
603,Michigan State
604,Baylor
605,Tennessee-Martin
606,Texas-El Paso
607,Arizona
608,Virginia
609,Wichita State
610,Kansas
611,Syracuse
612,Stetson
613,Syracuse
614,Arizona
615,Duke
616,Kansas
617,Wyoming
618,Tennessee
619,Murray State
620,Arkansas
621,UCLA
622,St. John's (NY)
623,Kentucky
624,UCLA
625,Louisiana State
626,Massachusetts
627,Louisiana State
628,Syracuse
629,Nevada-Las Vegas
630,Kentucky
631,North Carolina
632,William & Mary
633,William & Mary
634,Texas
635,Duke
636,Charlotte
637,Oregon
638,Utah
639,Iowa
640,Army
641,Louisiana-Monroe
642,Missouri-Kansas City
643,Idaho
644,Ohio State
645,Louisville
646,Syracuse
647,Notre Dame
648,Kentucky
649,Wisconsin
650,Michigan State
651,Virginia
652,Delaware
653,Samford
654,Kentucky
655,Georgia State
656,Arizona
657,Bowling Green State
658,Villanova
659,Wisconsin
660,Liberty
661,Kentucky
662,Duke
663,Arizona
664,Boston College
665,Eastern Washington
666,Louisville
667,Kentucky
668,Notre Dame
669,North Carolina
670,UCLA
671,Louisville
672,Kentucky
673,Washington
674,Iowa State
675,Iowa State
676,Syracuse
677,Maryland
678,Michigan
679,Nevada-Las Vegas
680,Michigan State
681,University of California
682,Kentucky
683,Georgia Tech
684,Rhode Island
685,Seton Hall
686,Louisiana State
687,New Mexico State
688,Gonzaga
689,Maryland
690,Clemson
691,Washington
692,Kansas
693,Oklahoma
694,Michigan State
695,Florida State
696,Vanderbilt
697,Arizona
698,Virginia
699,Green Bay
700,University of California
701,Providence
702,UCLA
703,Weber State
704,Notre Dame
705,Duke
706,Oklahoma
707,North Carolina
708,Charleston Southern
709,Vanderbilt
710,Oakland
711,Providence
712,Marquette
713,Connecticut
714,Purdue
715,Syracuse
716,Southern Methodist
717,Iowa State
718,University of California
719,Miami (FL)
720,Valparaiso
721,Creighton
722,Syracuse
723,Arizona
724,Utah
725,Southern California
726,Kentucky
727,Kansas
728,South Carolina
729,Gonzaga
730,Michigan
731,Colorado
732,Purdue
733,Xavier
734,Duke
735,Gonzaga
736,Wake Forest
737,Houston
738,Oregon
739,Florida State
740,UCLA
741,Indiana
742,Kentucky
743,UCLA
744,Arizona
745,Texas
746,North Carolina
747,Oregon
748,Southern Methodist
749,Indiana
750,University of California
751,Clemson
752,Duke
753,Kansas
754,Kansas State
755,Florida State
756,Duke
757,Marquette
758,Boston College
759,Buffalo
760,Villanova
761,Kentucky
762,Washington
763,Oklahoma State
764,Duke
765,Georgia Tech
766,Kansas
767,Kentucky
768,Southern California
769,Binghamton
770,Wake Forest
771,Southern Methodist
772,Kentucky
773,Miami (FL)
774,Michigan
775,Creighton
776,Texas A&M
777,Oklahoma
778,UCLA
779,Wichita State
780,Alabama
781,Boston College
782,Texas Tech
783,Villanova
784,Penn State
785,West Virginia
786,Villanova
787,Kentucky
788,Arizona
789,Ohio State
790,Texas
791,Dayton
792,Duke
793,Miami (FL)
794,Michigan State
795,Villanova
796,Villanova
797,Oregon
798,Maryland
799,Maryland
800,Maryland
801,Boise State
802,Seattle
803,UCLA
804,Miami (FL)
805,Texas-Arlington
806,Colorado
807,Missouri State
808,Tulane
809,Cincinnati
810,Purdue
811,Virginia
812,Jacksonville
813,Kentucky
814,Kansas
815,Mount St. Mary's
816,Washington
817,Murray State
818,Michigan
819,Auburn
820,Yale
821,Villanova
822,Indiana
823,North Carolina
824,San Diego State
825,Florida State
826,Nevada
827,Northern Arizona
828,Washington
829,Belmont
830,St. Francis (NY)
831,Duke
832,Hofstra
833,Kentucky
834,Louisiana State
835,Mississippi State
836,Tennessee
837,North Carolina
838,Tennessee
839,Southern Utah
840,Duke
841,Nebraska
842,Iowa State
843,Columbia
844,Gonzaga
845,Georgia
846,Texas Tech
847,South Dakota
848,Virginia Tech
849,Michigan
850,College of Charleston
851,Loyola Marymount
852,Oregon
853,Tennessee
854,Virginia
855,Iowa State
856,Texas
857,Kentucky
858,Presbyterian
859,Kentucky
860,Florida State
861,Wyoming
862,North Carolina
863,Virginia
864,Arkansas
865,Maryland
866,Purdue
867,UCLA
868,Gonzaga
869,Virginia
870,Vanderbilt
