",,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced"
"Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48"
"430,2012,NBA,1,10,NOH,Austin Rivers\riverau01,19.336,G,us,Duke University,2013,2019,484,24.6,9.2,2.0,2.4,0.7,0.2,.417,.459,.347,.637,9.1,.036"
"431,2012,NBA,1,11,POR,Meyers Leonard\leoname01,20.127,C-F,us,University of Illinois at Urbana-Champaign,2013,2019,393,15.5,5.6,3.7,0.9,0.2,0.3,.479,.542,.385,.828,13.4,.106"
"432,2012,NBA,1,12,HOU,Jeremy Lamb\lambje01,20.034,G-F,us,University of Connecticut,2013,2019,435,20.5,10.2,3.7,1.5,0.7,0.3,.443,.499,.339,.853,20.8,.112"
"433,2012,NBA,1,13,PHO,Kendall Marshall\marshke01,20.319,G,us,University of North Carolina,2013,2016,160,19.3,5.0,1.6,4.9,0.7,0.1,.399,.422,.370,.611,1.0,.015"
"434,2012,NBA,1,14,MIL,John Henson\hensojo01,21.188,C-F,us,University of North Carolina,2013,2019,405,20.1,7.8,5.4,1.1,0.5,1.5,.539,.544,.273,.572,19.3,.114"
"435,2012,NBA,1,15,PHI,Maurice Harkless\harklma01,19.053,F-G,us,St. John's University,2013,2019,475,23.1,7.3,3.7,0.9,1.0,0.7,.476,.544,.323,.614,19.2,.084"
"436,2012,NBA,1,16,HOU,Royce White\whitero03,21.085,F,us,Iowa State University,2014,2014,3,3.0,0.0,0.0,0.0,0.0,0.0,.000,.000,,,0.0,-0.121"
"437,2012,NBA,1,17,DAL,Tyler Zeller\zellety01,22.168,F-C,us,University of North Carolina,2013,2019,412,17.6,7.0,4.4,0.9,0.3,0.6,.509,.512,.286,.764,17.1,.113"
"438,2012,NBA,1,18,HOU,Terrence Jones\joneste01,20.176,F,us,University of Kentucky,2013,2019,234,23.8,10.4,5.7,1.0,0.6,1.2,.501,.539,.297,.621,14.7,.127"
"439,2012,NBA,1,19,ORL,Andrew Nicholson\nichoan01,22.208,F,ca,St. Bonaventure University,2013,2017,285,14.3,6.0,3.0,0.4,0.3,0.3,.467,.498,.321,.773,3.8,.045"
"440,2012,NBA,1,20,DEN,Evan Fournier\fournev01,19.247,G-F,fr,,2013,2019,457,28.0,13.5,2.8,2.5,0.8,0.1,.446,.498,.371,.805,19.4,.073"
"441,2012,NBA,1,21,BOS,Jared Sullinger\sullija01,20.121,F,us,Ohio State University,2013,2017,269,24.3,10.8,7.5,1.8,0.7,0.6,.436,.476,.272,.723,15.3,.113"
"442,2012,NBA,1,22,BOS,Fab Melo\melofa01,22.014,C,br,Syracuse University,2013,2013,6,6.0,1.2,0.5,0.0,0.3,0.3,.500,.500,,.250,0.0,.021"
"443,2012,NBA,1,23,ATL,John Jenkins\jenkijo01,21.120,G,us,Vanderbilt University,2013,2019,171,12.8,5.0,1.5,0.8,0.2,0.1,.441,.503,.367,.847,3.0,.065"
"444,2012,NBA,1,24,CLE,Jared Cunningham\cunnija01,21.043,G,us,Oregon State University,2013,2016,84,7.2,2.3,0.7,0.5,0.3,0.0,.347,.369,.306,.674,0.2,.017"
"445,2012,NBA,1,25,MEM,Tony Wroten\wroteto01,19.081,G,us,University of Washington,2013,2016,145,21.2,11.1,2.5,3.0,0.9,0.2,.413,.477,.231,.647,-1.3,-0.021"
"446,2012,NBA,1,26,IND,Miles Plumlee\plumlmi01,23.306,C-F,us,Duke University,2013,2019,346,16.4,4.9,4.5,0.5,0.4,0.7,.542,.542,,.543,10.6,.090"
"447,2012,NBA,1,27,MIA,Arnett Moultrie\moultar01,21.228,F,us,Mississippi State University,2013,2014,59,12.4,3.6,3.1,0.2,0.4,0.2,.547,.547,,.667,1.7,.113"
"448,2012,NBA,1,28,OKC,Perry Jones\jonespe01,20.283,F,us,Baylor University,2013,2015,143,11.7,3.4,1.8,0.4,0.3,0.2,.420,.466,.293,.660,1.7,.048"
"449,2012,NBA,1,29,CHI,Marquis Teague\teaguma01,19.125,G,us,University of Kentucky,2013,2018,91,10.0,2.4,1.0,1.5,0.3,0.1,.343,.369,.222,.661,-0.9,-0.045"
"450,2012,NBA,1,30,GSW,Festus Ezeli\ezelife01,22.256,C,ng,Vanderbilt University,2013,2016,170,14.1,4.2,4.3,0.4,0.3,1.0,.513,.513,,.557,5.9,.119"
"451,2012,NBA,2,31,CHA,Jeffery Taylor\tayloje03,23.042,F,se,Vanderbilt University,2013,2015,132,19.4,6.1,2.0,0.8,0.5,0.2,.409,.458,.319,.665,1.3,.024"
"452,2012,NBA,2,32,WAS,Tomáš Satoranský\satorto01,20.247,G,cz,,2017,2019,210,21.6,6.6,2.8,3.7,0.8,0.2,.489,.524,.400,.792,10.3,.109"
"453,2012,NBA,2,33,CLE,Bernard James\jamesbe01,27.148,C,us,Florida State University,2013,2015,92,8.3,2.2,2.3,0.1,0.2,0.7,.497,.507,.000,.680,1.9,.117"
"454,2012,NBA,2,34,CLE,Jae Crowder\crowdja01,21.363,F,us,Marquette University,2013,2019,543,24.2,9.5,3.9,1.4,1.0,0.3,.423,.513,.339,.778,28.7,.105"
"455,2012,NBA,2,35,GSW,Draymond Green\greendr01,22.122,F,us,Michigan State University,2013,2019,533,28.1,9.1,6.9,4.9,1.4,1.1,.439,.509,.323,.706,43.3,.139"
"456,2012,NBA,2,36,SAC,Orlando Johnson\johnsor01,23.115,G,us,University of California Santa Barbara,2013,2016,103,10.8,3.2,1.7,0.7,0.2,0.1,.358,.398,.311,.727,1.4,.059"
"457,2012,NBA,2,37,TOR,Quincy Acy\acyqu01,21.271,F-C,us,Baylor University,2013,2019,337,16.0,4.9,3.5,0.6,0.4,0.4,.444,.506,.350,.759,8.7,.078"
"458,2012,NBA,2,38,DEN,Quincy Miller\millequ01,19.227,F,us,Baylor University,2013,2015,69,13.5,4.3,2.4,0.5,0.4,0.5,.350,.383,.292,.706,-0.1,-0.003"
"459,2012,NBA,2,39,DET,Khris Middleton\middlkh01,20.326,F-G,us,Texas A&M University,2013,2019,455,31.7,15.7,4.4,3.2,1.3,0.2,.451,.484,.388,.870,31.0,.103"
"460,2012,NBA,2,40,POR,Will Barton\bartowi01,21.179,G,us,University of Memphis,2013,2019,438,23.3,10.5,3.9,2.4,0.7,0.4,.431,.478,.341,.788,16.4,.077"
"461,2012,NBA,2,41,POR,Tyshawn Taylor\tayloty01,22.083,G,us,University of Kansas,2013,2014,61,8.0,2.9,0.5,0.9,0.4,0.0,.354,.353,.360,.684,-0.9,-0.088"
"462,2012,NBA,2,42,MIL,Doron Lamb\lambdo01,20.240,G,us,University of Kentucky,2013,2014,100,12.7,3.5,1.0,0.8,0.2,0.0,.381,.372,.394,.700,0.1,.005"
"463,2012,NBA,2,43,ATL,Mike Scott\scottmi01,23.353,F,us,University of Virginia,2013,2019,436,16.3,7.1,3.1,0.9,0.3,0.1,.464,.525,.364,.755,13.3,.089"
"464,2012,NBA,2,44,DET,Kim English\engliki01,23.283,G,us,University of Missouri,2013,2013,41,9.9,2.9,0.9,0.6,0.4,0.1,.375,.452,.280,.724,0.2,.021"
"465,2012,NBA,2,45,PHI,Justin Hamilton\hamilju01,22.094,C,us,Louisiana State University,2014,2017,113,17.4,6.1,3.6,0.8,0.5,0.6,.464,.560,.309,.798,3.7,.091"
"466,2012,NBA,2,46,NOH,Darius Miller\milleda01,22.105,F,us,University of Kentucky,2013,2019,253,20.4,6.0,1.7,1.4,0.4,0.2,.418,.495,.382,.830,5.9,.055"
"467,2012,NBA,2,47,UTA,Kevin Murphy\murphke01,22.120,G,us,Tennessee Technological University,2013,2013,17,3.1,0.9,0.2,0.1,0.1,0.0,.250,.261,.200,,-0.3,-0.272"
"468,2012,NBA,2,48,NYK,Kostas Papanikolaou\papanko01,21.338,F,gr,,2015,2016,69,15.8,3.6,2.3,1.5,0.6,0.3,.354,.416,.297,.688,0.3,.015"
"469,2012,NBA,2,49,ORL,Kyle O'Quinn\oquinky01,22.100,F-C,us,Norfolk State University,2013,2019,443,14.4,5.6,4.6,1.3,0.4,1.0,.518,.537,.209,.748,16.8,.126"
"470,2012,NBA,2,50,DEN,?zzet Türky?lmaz\turkyiz01,22.045,C-F,tr,,,,,,,,,,,,,,,,"
"471,2012,NBA,2,51,BOS,Kris Joseph\josepkr01,23.199,F,ca,Syracuse University,2013,2013,10,5.4,0.9,0.7,0.1,0.3,0.0,.143,.182,.000,.625,-0.1,-0.127"
"472,2012,NBA,2,52,GSW,Ognjen Kuzmi?\kuzmiog01,22.049,C,ba,,2014,2015,37,4.4,0.9,1.0,0.2,0.1,0.1,.520,.520,,.600,0.2,.061"
"473,2012,NBA,2,53,LAC,Furkan Aldemir\aldemfu01,20.329,F-C,tr,,2015,2015,41,13.2,2.3,4.3,0.7,0.4,0.4,.513,.548,.000,.481,1.4,.122"
"474,2012,NBA,2,54,PHI,Tornike Shengelia\shengto01,20.272,F,ge,,2013,2014,45,5.5,1.3,0.9,0.4,0.1,0.0,.451,.512,.125,.500,-0.2,-0.032"
"475,2012,NBA,2,55,DAL,Darius Johnson-Odom\johnsda03,22.279,G,us,Marquette University,2013,2014,7,3.0,0.0,0.9,0.3,0.1,0.0,.000,.000,.000,.000,-0.3,-0.597"
"476,2012,NBA,2,56,TOR,Tomislav Zub?i?\zubcito01,22.178,F,hr,,,,,,,,,,,,,,,,"
"477,2012,NBA,2,57,NJN,?lkan Karaman\karamil01,22.052,F,tr,,,,,,,,,,,,,,,,"
"478,2012,NBA,2,58,MIN,Robbie Hummel\hummero01,23.118,F,us,Purdue University,2014,2015,98,14.3,3.9,2.7,0.5,0.3,0.1,.418,.469,.343,.867,1.9,.066"
"479,2012,NBA,2,59,SAS,Marcus Denmon\denmoma01,22.106,G,us,University of Missouri,,,,,,,,,,,,,,,"
"480,2012,NBA,2,60,LAL,Robert Sacre\sacrero01,23.028,C,us,Gonzaga University,2013,2016,189,14.5,4.2,3.1,0.7,0.3,0.6,.436,.437,.000,.671,2.4,.042"
"481,2011,NBA,1,1,CLE,Kyrie Irving\irvinky01,19.096,G,au,Duke University,2012,2019,508,33.8,22.2,3.6,5.7,1.3,0.3,.465,.498,.390,.875,58.4,.163"
"482,2011,NBA,1,2,MIN,Derrick Williams\willide02,20.034,F,us,University of Arizona,2012,2018,428,20.7,8.9,4.0,0.7,0.5,0.3,.434,.484,.300,.710,14.1,.076"
"483,2011,NBA,1,3,UTA,Enes Kanter\kanteen01,19.038,C,ch,,2012,2019,583,22.2,11.9,7.6,0.8,0.4,0.4,.541,.548,.294,.780,39.6,.147"
"484,2011,NBA,1,4,CLE,Tristan Thompson\thomptr01,20.107,F-C,ca,University of Texas at Austin,2012,2019,562,27.8,9.2,8.6,0.9,0.5,0.7,.519,.520,.000,.610,40.0,.123"
"485,2011,NBA,1,5,TOR,Jonas Valan?i?nas\valanjo01,19.052,C,lt,,2013,2019,489,25.2,12.1,8.5,0.8,0.4,1.0,.558,.565,.357,.786,45.3,.177"
"486,2011,NBA,1,6,WAS,Jan Veselý\veselja01,21.065,F,cz,,2012,2014,162,15.2,3.6,3.5,0.6,0.7,0.5,.521,.523,.000,.408,4.0,.078"
"487,2011,NBA,1,7,SAC,Bismack Biyombo\biyombi01,18.303,C-F,cd,,2012,2019,583,20.3,4.9,6.3,0.5,0.3,1.4,.517,.518,.000,.571,22.9,.093"
"488,2011,NBA,1,8,DET,Brandon Knight\knighbr03,19.208,G,us,University of Kentucky,2012,2019,421,30.1,14.5,3.2,4.0,0.9,0.2,.413,.445,.354,.812,11.6,.044"
"489,2011,NBA,1,9,CHA,Kemba Walker\walkeke02,21.051,G,us,University of Connecticut,2012,2019,605,34.1,19.8,3.8,5.5,1.3,0.4,.418,.452,.357,.835,48.5,.113"
"490,2011,NBA,1,10,MIL,Jimmer Fredette\fredeji01,22.123,G,us,Brigham Young University,2012,2019,241,13.3,6.0,1.0,1.4,0.4,0.0,.409,.434,.372,.879,2.2,.033"
"491,2011,NBA,1,11,GSW,Klay Thompson\thompkl01,21.140,G-F,us,Washington State University,2012,2019,615,33.1,19.5,3.5,2.3,0.9,0.5,.459,.491,.419,.848,46.8,.110"
"492,2011,NBA,1,12,UTA,Alec Burks\burksal01,19.343,G,us,University of Colorado,2012,2019,429,21.1,9.5,3.0,1.7,0.6,0.2,.423,.445,.355,.771,13.0,.069"
"493,2011,NBA,1,13,PHO,Markieff Morris\morrima02,21.299,F,us,University of Kansas,2012,2019,579,26.0,11.6,5.5,1.7,0.9,0.6,.449,.481,.338,.778,23.7,.076"
"494,2011,NBA,1,14,HOU,Marcus Morris\morrima03,21.299,F,us,University of Kansas,2012,2019,545,26.5,11.5,4.6,1.5,0.7,0.3,.431,.476,.360,.747,26.8,.089"
"495,2011,NBA,1,15,IND,Kawhi Leonard\leonaka01,19.364,F,us,San Diego State University,2012,2019,467,30.8,17.7,6.3,2.4,1.8,0.7,.495,.538,.383,.848,65.8,.219"
"496,2011,NBA,1,16,PHI,Nikola Vu?evi?\vucevni01,20.247,C,ch,University of Southern California,2012,2019,536,30.0,15.7,10.1,2.4,0.9,0.9,.502,.515,.332,.741,41.7,.124"
"497,2011,NBA,1,17,NYK,Iman Shumpert\shumpim01,21.002,G,us,Georgia Institute of Technology,2012,2019,446,25.2,7.3,3.4,1.9,1.1,0.3,.393,.438,.340,.766,12.9,.055"
"498,2011,NBA,1,18,WAS,Chris Singleton\singlch01,21.219,F,us,Florida State University,2012,2014,148,17.6,4.1,3.2,0.6,0.8,0.4,.376,.400,.319,.633,2.3,.042"
"499,2011,NBA,1,19,CHA,Tobias Harris\harrito02,18.347,F,us,University of Tennessee,2012,2019,546,30.4,15.4,6.0,1.9,0.7,0.5,.471,.512,.364,.822,39.4,.114"
"500,2011,NBA,1,20,MIN,Donatas Motiej?nas\motiedo01,20.281,F-C,lt,,2013,2019,251,18.2,7.3,3.8,1.1,0.5,0.3,.469,.529,.300,.597,7.1,.075"
"501,2011,NBA,1,21,POR,Nolan Smith\smithno01,22.338,G,us,Duke University,2012,2013,84,9.9,3.3,1.0,1.2,0.3,0.0,.371,.407,.260,.714,-0.8,-0.047"
"502,2011,NBA,1,22,DEN,Kenneth Faried\farieke01,21.221,F,us,Morehead State University,2012,2019,478,24.5,11.4,8.1,1.0,0.7,0.8,.546,.550,.222,.654,38.8,.159"
"503,2011,NBA,1,23,HOU,Nikola Miroti?\mirotni01,20.137,F,me,,2015,2019,319,24.2,12.3,5.9,1.3,0.8,0.7,.423,.502,.359,.808,20.8,.129"
"504,2011,NBA,1,24,OKC,Reggie Jackson\jacksre01,21.073,G,it,Boston College,2012,2019,530,25.2,12.9,3.0,4.4,0.7,0.1,.429,.471,.333,.859,28.2,.101"
"505,2011,NBA,1,25,BOS,MarShon Brooks\brookma01,22.153,G-F,us,Providence College,2012,2019,200,17.3,8.0,2.1,1.4,0.6,0.2,.447,.478,.345,.751,3.3,.046"
"506,2011,NBA,1,26,DAL,Jordan Hamilton\hamiljo02,20.265,G-F,us,University of Texas at Austin,2012,2016,151,13.9,5.9,2.8,0.8,0.5,0.2,.408,.451,.357,.670,3.0,.069"
"507,2011,NBA,1,27,NJN,JaJuan Johnson\johnsja02,22.140,F,us,Purdue University,2012,2012,36,8.3,3.2,1.6,0.2,0.1,0.4,.446,.446,,.667,0.2,.032"
"508,2011,NBA,1,28,CHI,Norris Cole\coleno01,22.258,G,us,Cleveland State University,2012,2017,360,22.3,7.0,2.0,2.7,0.8,0.1,.407,.436,.324,.743,3.0,.018"
"509,2011,NBA,1,29,SAS,Cory Joseph\josepco01,19.312,G,ca,University of Texas at Austin,2012,2019,528,21.5,6.9,2.6,2.8,0.8,0.2,.444,.477,.327,.761,21.8,.092"
"510,2011,NBA,1,30,CHI,Jimmy Butler\butleji01,21.287,F-G,us,Marquette University,2012,2019,523,32.9,16.7,4.9,3.5,1.6,0.5,.454,.486,.341,.835,66.1,.184"
"511,2011,NBA,2,31,MIA,Bojan Bogdanovi?\bogdabo02,22.071,G-F,ba,,2015,2019,399,27.8,13.3,3.4,1.4,0.6,0.1,.463,.520,.389,.846,18.4,.080"
"512,2011,NBA,2,32,CLE,Justin Harper\harpeju01,21.302,F,us,University of Richmond,2012,2017,22,6.8,2.0,0.8,0.2,0.1,0.1,.340,.417,.276,.333,-0.3,-0.093"
"513,2011,NBA,2,33,DET,Kyle Singler\singlky01,23.055,F,us,Duke University,2013,2018,356,21.9,6.5,2.9,0.8,0.6,0.3,.418,.458,.362,.786,10.0,.062"
"514,2011,NBA,2,34,WAS,Shelvin Mack\macksh01,21.067,G,us,Butler University,2012,2019,456,18.4,6.6,2.0,3.1,0.7,0.1,.423,.470,.330,.731,10.3,.059"
"515,2011,NBA,2,35,SAC,Tyler Honeycutt\honeyty01,20.348,F,us,University of California Los Angeles,2012,2013,24,5.0,1.2,1.0,0.4,0.2,0.2,.314,.333,.200,.714,-0.1,-0.049"
"516,2011,NBA,2,36,NJN,Jordan Williams\willijo03,20.260,F,us,University of Maryland,2012,2012,43,14.8,4.6,3.6,0.3,0.5,0.3,.507,.507,,.652,1.3,.101"
"517,2011,NBA,2,37,LAC,Trey Thompkins\thomptr02,21.039,F,us,University of Georgia,2012,2012,24,5.0,2.4,1.0,0.1,0.1,0.1,.393,.417,.308,.714,0.0,.004"
"518,2011,NBA,2,38,HOU,Chandler Parsons\parsoch01,22.246,F,us,University of Florida,2012,2019,435,30.3,12.8,4.5,2.8,0.9,0.3,.462,.522,.373,.713,29.0,.106"
"519,2011,NBA,2,39,CHA,Jeremy Tyler\tylerje01,20.007,C,us,,2012,2014,104,9.9,3.6,2.6,0.2,0.2,0.4,.450,.451,.000,.557,0.3,.014"
"520,2011,NBA,2,40,MIL,Jon Leuer\leuerjo01,22.045,F,us,University of Wisconsin,2012,2019,377,15.8,6.4,3.8,0.8,0.4,0.3,.484,.520,.328,.767,13.2,.107"
"521,2011,NBA,2,41,LAL,Darius Morris\morrida01,20.176,G,us,University of Michigan,2012,2015,132,11.1,3.3,1.0,1.4,0.3,0.0,.384,.416,.322,.630,-0.3,-0.010"
"522,2011,NBA,2,42,IND,D?vis Bert?ns\bertada01,18.227,F,lv,,2017,2019,220,16.0,6.2,2.3,1.0,0.4,0.4,.444,.552,.404,.846,9.3,.127"
"523,2011,NBA,2,43,CHI,Malcolm Lee\leema01,21.037,G,us,University of California Los Angeles,2012,2015,36,14.8,3.9,1.8,1.4,0.6,0.3,.382,.412,.294,.703,0.4,.040"
"524,2011,NBA,2,44,GSW,Charles Jenkins\jenkich01,22.120,G,us,Hofstra University,2012,2013,110,12.1,3.7,0.9,1.9,0.4,0.1,.434,.449,.182,.754,0.5,.017"
"525,2011,NBA,2,45,NOH,Josh Harrellson\harrejo01,22.136,C,us,University of Kentucky,2012,2014,75,11.8,3.5,3.0,0.3,0.4,0.5,.438,.497,.347,.629,2.1,.116"
"526,2011,NBA,2,46,LAL,Andrew Goudelock\goudean01,22.203,G,us,College of Charleston,2012,2016,49,9.7,4.0,0.7,0.5,0.2,0.0,.393,.429,.345,.875,0.0,.003"
"527,2011,NBA,2,47,LAC,Travis Leslie\leslitr01,21.091,G,us,University of Georgia,2012,2012,10,4.5,1.4,0.9,0.5,0.2,0.2,.357,.357,,.444,0.1,.060"
"528,2011,NBA,2,48,ATL,Keith Benson\bensoke02,22.319,C,us,Oakland University,2012,2012,3,3.0,0.0,1.0,0.0,0.0,0.0,.000,.000,,,0.0,-0.005"
"529,2011,NBA,2,49,MEM,Josh Selby\selbyjo01,20.093,G,us,University of Kansas,2012,2013,38,7.8,2.2,0.5,0.9,0.2,0.0,.330,.384,.143,.720,-0.7,-0.113"
"530,2011,NBA,2,50,PHI,Lavoy Allen\allenla01,22.144,F-C,us,Temple University,2012,2017,388,17.8,4.8,4.8,1.0,0.3,0.6,.471,.474,.133,.682,13.8,.096"
"531,2011,NBA,2,51,POR,Jon Diebler\diebljo01,23.006,G,us,Ohio State University,,,,,,,,,,,,,,,"
"532,2011,NBA,2,52,DET,Vernon Macklin\macklve01,24.282,F,us,University of Florida,2012,2012,23,5.9,2.0,1.5,0.2,0.2,0.2,.543,.543,,.571,0.5,.161"
"533,2011,NBA,2,53,ORL,DeAndre Liggins\liggide01,23.089,G,us,University of Kentucky,2012,2018,177,10.8,2.0,1.4,0.7,0.6,0.2,.402,.432,.352,.549,1.6,.040"
"534,2011,NBA,2,54,CLE,Milan Ma?van\macvami01,21.224,F-C,hr,,,,,,,,,,,,,,,,"
"535,2011,NBA,2,55,BOS,E'Twaun Moore\mooreet01,22.123,G-F,us,Purdue University,2012,2019,515,21.7,8.0,2.0,1.8,0.7,0.2,.458,.492,.392,.744,13.5,.058"
"536,2011,NBA,2,56,LAL,Chukwudiebere Maduabum\maduach01,20.101,F,ng,,,,,,,,,,,,,,,,"
"537,2011,NBA,2,57,DAL,Targuy Ngombo,,,,,,,,,,,,,,,,,,,"
"538,2011,NBA,2,58,LAL,Ater Majok\majokat01,23.360,F-C,sd,,,,,,,,,,,,,,,,"
"539,2011,NBA,2,59,SAS,Ádám Hanga\hangaad01,22.077,G,hu,,,,,,,,,,,,,,,,"
"540,2011,NBA,2,60,SAC,Isaiah Thomas\thomais02,22.141,G,us,University of Washington,2012,2019,485,29.4,18.6,2.5,5.1,0.9,0.1,.437,.486,.360,.874,45.3,.152"
"541,2010,NBA,1,1,WAS,John Wall\walljo01,19.296,G,us,University of Kentucky,2011,2019,573,35.9,19.0,4.3,9.2,1.7,0.7,.433,.457,.324,.781,44.3,.104"
"542,2010,NBA,1,2,PHI,Evan Turner\turneev01,21.245,G,us,Ohio State University,2011,2019,686,27.2,9.9,4.7,3.5,0.8,0.3,.435,.458,.296,.781,20.5,.053"
"543,2010,NBA,1,3,NJN,Derrick Favors\favorde01,18.349,F-C,us,Georgia Institute of Technology,2011,2019,632,25.7,11.6,7.2,1.1,0.8,1.3,.525,.535,.210,.664,49.5,.146"
"544,2010,NBA,1,4,MIN,Wesley Johnson\johnswe01,22.354,F-G,us,Syracuse University,2011,2019,609,22.1,7.0,3.2,1.1,0.8,0.7,.404,.460,.337,.741,10.7,.038"
"545,2010,NBA,1,5,SAC,DeMarcus Cousins\couside01,19.320,C-F,us,University of Kentucky,2011,2019,565,32.0,21.2,10.9,3.2,1.4,1.2,.461,.477,.332,.737,44.1,.117"
"546,2010,NBA,1,6,GSW,Ekpe Udoh\udohek01,23.041,C-F,us,Baylor University,2011,2019,384,14.8,3.5,2.9,0.7,0.5,1.1,.453,.455,.000,.718,10.4,.088"
"547,2010,NBA,1,7,DET,Greg Monroe\monrogr01,20.025,C-F,us,Georgetown University,2011,2019,632,27.7,13.2,8.3,2.1,1.1,0.6,.514,.515,.059,.704,49.7,.136"
"548,2010,NBA,1,8,LAC,Al-Farouq Aminu\aminual01,19.281,F,us,Wake Forest University,2011,2019,670,25.2,7.7,6.1,1.2,1.0,0.6,.423,.469,.337,.747,27.4,.078"
"549,2010,NBA,1,9,UTA,Gordon Hayward\haywago01,20.098,F-G,us,Butler University,2011,2019,589,30.6,15.1,4.2,3.4,1.0,0.4,.446,.483,.364,.821,47.9,.128"
"550,2010,NBA,1,10,IND,Paul George\georgpa01,20.058,F,us,California State University Fresno,2011,2019,604,33.8,19.8,6.4,3.3,1.8,0.4,.433,.470,.378,.844,65.2,.153"
"551,2010,NBA,1,11,NOH,Cole Aldrich\aldrico01,21.241,C,us,University of Kansas,2011,2018,339,10.0,3.1,3.3,0.5,0.4,0.7,.527,.527,,.738,9.6,.135"
"552,2010,NBA,1,12,MEM,Xavier Henry\henryxa01,19.106,G,be,University of Kansas,2011,2015,185,15.7,5.7,1.9,0.6,0.5,0.1,.406,.419,.325,.635,0.8,.013"
"553,2010,NBA,1,13,TOR,Ed Davis\davised01,21.024,F,us,University of North Carolina,2011,2019,640,20.2,6.5,6.8,0.8,0.5,0.8,.569,.570,.000,.584,41.3,.153"
"554,2010,NBA,1,14,HOU,Patrick Patterson\pattepa01,21.107,F,us,University of Kentucky,2011,2019,622,21.8,6.9,4.1,1.1,0.6,0.5,.450,.500,.367,.749,28.7,.102"
"555,2010,NBA,1,15,MIL,Larry Sanders\sandela01,21.220,C-F,us,Virginia Commonwealth University,2011,2017,238,19.5,6.4,5.7,0.7,0.6,1.8,.480,.481,.000,.553,10.3,.107"
"556,2010,NBA,1,16,MIN,Luke Babbitt\babbilu01,21.009,F,us,University of Nevada Reno,2011,2018,381,14.0,4.8,2.2,0.6,0.2,0.2,.408,.417,.402,.747,7.2,.065"
"557,2010,NBA,1,17,CHI,Kevin Séraphin\serapke01,20.204,F,gf,,2011,2017,423,15.2,5.9,3.5,0.6,0.2,0.7,.489,.491,.000,.715,5.9,.044"
"558,2010,NBA,1,18,OKC,Eric Bledsoe\bledser01,20.202,G,us,University of Kentucky,2011,2019,570,27.9,14.1,3.9,4.8,1.5,0.5,.455,.503,.336,.794,37.0,.112"
"559,2010,NBA,1,19,BOS,Avery Bradley\bradlav01,19.215,G,us,University of Texas at Austin,2011,2019,522,28.7,12.0,3.0,1.8,1.0,0.2,.436,.470,.364,.778,14.6,.047"
"560,2010,NBA,1,20,SAS,James Anderson\anderja01,21.096,G-F,us,Oklahoma State University,2011,2016,247,17.5,5.8,2.3,1.2,0.5,0.2,.411,.495,.321,.755,3.3,.037"
"561,2010,NBA,1,21,OKC,Craig Brackins\brackcr01,22.264,F,us,Iowa State University,2011,2012,17,7.1,1.8,1.1,0.5,0.1,0.1,.265,.286,.214,.500,-0.2,-0.089"
"562,2010,NBA,1,22,POR,Elliot Williams\williel01,21.009,G,us,University of Memphis,2012,2016,109,13.5,4.9,1.5,0.9,0.4,0.1,.421,.489,.310,.669,0.7,.024"
"563,2010,NBA,1,23,MIN,Trevor Booker\booketr01,22.217,F,us,Clemson University,2011,2018,532,20.4,6.9,5.5,1.1,0.7,0.5,.515,.534,.305,.636,26.2,.116"
"564,2010,NBA,1,24,ATL,Damion James\jamesda01,22.266,G-F,us,University of Texas at Austin,2011,2014,39,16.0,3.8,3.4,0.7,0.6,0.5,.415,.433,.000,.667,0.0,-0.001"
"565,2010,NBA,1,25,MEM,Dominique Jones\jonesdo02,21.257,G,us,University of South Florida,2011,2013,80,9.3,3.1,1.4,1.8,0.4,0.1,.366,.393,.095,.729,0.3,.017"
"566,2010,NBA,1,26,OKC,Quincy Pondexter\pondequ01,22.111,G-F,us,University of Washington,2011,2019,355,15.6,4.5,1.8,0.7,0.3,0.1,.423,.475,.356,.746,9.7,.084"
"567,2010,NBA,1,27,NJN,Jordan Crawford\crawfjo02,21.249,G,us,Xavier University,2011,2018,281,24.4,12.2,2.5,3.1,0.7,0.1,.411,.458,.317,.826,6.3,.044"
"568,2010,NBA,1,28,MEM,Greivis Vásquez\vasqugr01,23.165,G,ve,University of Maryland,2011,2017,401,23.7,9.0,2.5,4.8,0.6,0.1,.418,.456,.349,.817,12.6,.064"
"569,2010,NBA,1,29,ORL,Daniel Orton\ortonda01,19.327,C-F,us,University of Kentucky,2012,2014,51,10.6,2.8,2.5,0.5,0.4,0.5,.485,.490,.000,.597,1.0,.093"
"570,2010,NBA,1,30,WAS,Lazar Hayward\haywala01,23.216,F,us,Marquette University,2011,2013,72,8.2,2.9,1.3,0.5,0.2,0.1,.347,.395,.269,.767,0.2,.020"
"571,2010,NBA,2,31,NJN,Tibor Pleiß\pleisti01,20.239,C,de,,2016,2016,12,6.8,2.0,1.3,0.2,0.1,0.2,.440,.478,.000,1.000,-0.1,-0.041"
